"Operation Index","Operation Name","Latency","Priority"
0,"u3 (EC825F)","00:00:00.0010000","30"
1,"u3 (509557)","00:00:00.0010000","29"
2,"u3 (2D54016)","00:00:00.0010000","29"
3,"u3 (17F40CC)","00:00:00.0010000","26"
4,"u3 (1794732)","00:00:00.0010000","29"
5,"cx (14380CA)","00:00:00.0020000","28"
6,"u3 (35F871B)","00:00:00.0010000","26"
7,"cx (25BBFF8)","00:00:00.0020000","25"
8,"u3 (139BFB8)","00:00:00.0010000","23"
9,"cx (307BD7E)","00:00:00.0020000","22"
10,"u3 (345A972)","00:00:00.0010000","20"
11,"cx (172F505)","00:00:00.0020000","19"
12,"u3 (10A9D30)","00:00:00.0010000","2"
13,"u3 (15F86B4)","00:00:00.0010000","18"
14,"u3 (5BBC5B)","00:00:00.0010000","1"
15,"cx (3399F34)","00:00:00.0020000","17"
16,"u3 (10698DA)","00:00:00.0010000","15"
17,"cx (13B5FAD)","00:00:00.0020000","14"
18,"u3 (3165D16)","00:00:00.0010000","12"
19,"u3 (3C945C6)","00:00:00.0010000","11"
20,"u3 (21373F6)","00:00:00.0010000","11"
21,"u3 (2AF13A7)","00:00:00.0010000","10"
22,"u3 (27B0E2)","00:00:00.0010000","10"
23,"u3 (16537F9)","00:00:00.0010000","9"
24,"u3 (8EF7C3)","00:00:00.0010000","9"
25,"cx (106B5E3)","00:00:00.0020000","8"
26,"u3 (13C6501)","00:00:00.0010000","6"
27,"u3 (31F8D0E)","00:00:00.0010000","5"
28,"u3 (1BF583)","00:00:00.0010000","5"
29,"u3 (FBA1A2)","00:00:00.0010000","4"
30,"u3 (D8AEB2)","00:00:00.0010000","4"
31,"measurement (39E2445)","00:00:00.0030000","3"
32,"measurement (8F4675)","00:00:00.0030000","3"
