"Operation Index","Operation Name","Latency","Priority"
0,"u3 (DC92E3)","00:00:00.0010000","12"
1,"u3 (3C129FD)","00:00:00.0010000","11"
2,"u3 (1CA79E6)","00:00:00.0010000","10"
3,"u3 (1E4917)","00:00:00.0010000","10"
4,"cx (11091D1)","00:00:00.0020000","9"
5,"u3 (195205D)","00:00:00.0010000","7"
6,"u3 (23E234D)","00:00:00.0010000","7"
7,"cx (2F3DB9)","00:00:00.0020000","6"
8,"u3 (1A92B81)","00:00:00.0010000","4"
9,"measurement (2F28790)","00:00:00.0030000","3"
10,"measurement (286C416)","00:00:00.0030000","3"
