"Operation Index","Operation Name","Latency","Priority"
0,"u3 (A40B34)","00:00:00.0010000","22"
1,"barrier (1C464D5)","00:00:00.0010000","21"
2,"cx (3E78B82)","00:00:00.0020000","20"
3,"cx (323E792)","00:00:00.0020000","18"
4,"cx (432428)","00:00:00.0020000","16"
5,"cx (25C456C)","00:00:00.0020000","14"
6,"measurement (13E70CF)","00:00:00.0030000","12"
7,"if 1 then u3 (331F74A)","00:00:00.0020000","9"
8,"if 2 then u3 (C1B19E)","00:00:00.0020000","7"
9,"if 3 then u3 (2CF3E95)","00:00:00.0020000","5"
10,"measurement (149333E)","00:00:00.0030000","3"
