"Operation Index","Operation Name","Latency","Priority"
0,"u3 (23F0833)","00:00:00.0010000","18"
1,"barrier (3749D3)","00:00:00.0010000","17"
2,"u3 (1F1986C)","00:00:00.0010000","16"
3,"cx (17E5BD1)","00:00:00.0020000","15"
4,"u3 (1713A59)","00:00:00.0010000","13"
5,"barrier (FB0D27)","00:00:00.0010000","12"
6,"u3 (D37663)","00:00:00.0010000","11"
7,"u3 (36F297E)","00:00:00.0010000","11"
8,"cx (2E87571)","00:00:00.0020000","10"
9,"u3 (22C20FD)","00:00:00.0010000","8"
10,"barrier (38D28EC)","00:00:00.0010000","7"
11,"u3 (3F6704D)","00:00:00.0010000","6"
12,"u3 (3A9F2BB)","00:00:00.0010000","6"
13,"u3 (F98896)","00:00:00.0010000","5"
14,"barrier (C5CD47)","00:00:00.0010000","4"
15,"measurement (2F4377F)","00:00:00.0030000","3"
