"Operation Index","Operation Name","Latency","Priority"
0,"u3 (E04EF3)","00:00:00.0010000","15"
1,"u3 (3E2C690)","00:00:00.0010000","17"
2,"cx (2F8FB11)","00:00:00.0020000","16"
3,"barrier (2C0D3A1)","00:00:00.0010000","14"
4,"cx (C770B0)","00:00:00.0020000","13"
5,"u3 (302F638)","00:00:00.0010000","11"
6,"measurement (31AA7F8)","00:00:00.0030000","10"
7,"measurement (3EFE7BA)","00:00:00.0030000","8"
8,"if 1 then u3 (36F2590)","00:00:00.0020000","7"
9,"if 1 then u3 (2E85211)","00:00:00.0020000","5"
10,"measurement (22AE2A0)","00:00:00.0030000","3"
