"Operation Index","Operation Name","Latency","Priority"
0,"u3 (391B4D1)","00:00:00.0010000","17"
1,"u3 (1F5B5D)","00:00:00.0010000","19"
2,"cx (11A364A)","00:00:00.0020000","18"
3,"barrier (1EBE8A2)","00:00:00.0010000","16"
4,"cx (14B2DB4)","00:00:00.0020000","15"
5,"u3 (3A49B5B)","00:00:00.0010000","13"
6,"measurement (C97637)","00:00:00.0030000","12"
7,"measurement (31527F1)","00:00:00.0030000","12"
8,"if 1 then u3 (3BE677A)","00:00:00.0020000","9"
9,"if 2 then u3 (1B1A34B)","00:00:00.0020000","7"
10,"if 3 then u3 (33EBDA5)","00:00:00.0020000","5"
11,"measurement (134AAD1)","00:00:00.0030000","3"
