Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,6;9,N/A,6;9,6;9,33;8,6;9,6;9,6;9,6;9,6;8
1.1,6;6,N/A,6;6,6;6,33;6,6;6,6;6,6;6,6;6,6;6
1.2,6;6,N/A,6;6,6;6,33;6,6;6,6;6,6;6,6;6,6;6
1.3,6;6,N/A,6;6,6;6,33;6,6;6,6;6,6;6,6;6,6;6
1.4,6;7,N/A,6;7,6;7,33;7,6;7,6;7,6;7,6;7,6;7
1.5,6;6,N/A,6;6,6;6,33;6,6;6,6;6,6;6,6;6,6;6
1.6,6;5,N/A,6;5,6;5,33;5,6;5,6;5,6;5,6;5,6;5
1.7,6;5,N/A,6;5,6;5,33;5,6;5,6;5,6;5,6;5,6;5
1.8,6;6,N/A,6;6,6;6,33;6,6;6,6;6,6;6,6;6,6;6
1.9,6;12,N/A,6;13,6;13,33;10,6;13,6;13,6;12,6;13,6;12
1.10,6;10,N/A,6;10,6;10,33;9,6;10,6;10,6;10,6;10,6;9
1.11,6;10,N/A,6;12,6;12,33;7,6;12,6;12,6;10,6;12,6;9
1.12,6;15,N/A,6;15,6;15,33;13,6;15,6;15,6;15,6;15,6;13
1.13,6;25,N/A,6;27,6;27,33;21,6;27,6;27,6;25,6;27,6;23
1.16,6;35,N/A,6;41,6;41,33;31,6;41,6;41,6;35,6;41,6;31
1.19,6;27,N/A,6;27,6;27,33;25,6;27,6;27,6;27,6;27,6;25
1.21,6;5,N/A,6;5,6;5,33;5,6;5,6;5,6;5,6;5,6;5
1.22,6;21,N/A,6;21,6;21,33;21,6;21,6;21,6;21,6;21,6;21
1.23,6;15,N/A,6;15,6;15,33;15,6;15,6;15,6;15,6;15,6;15
1.25,6;8,N/A,6;8,6;8,33;8,6;8,6;8,6;8,6;8,6;8
1.27,6;19,N/A,6;17,6;17,33;11,6;17,6;17,6;19,6;17,6;15
1.28,6;19,N/A,6;19,6;19,33;17,6;19,6;19,6;19,6;19,6;17
1.31,6;28,N/A,6;30,6;30,33;24,6;30,6;30,6;28,6;30,6;27
1.32,6;4,2;4,6;4,6;4,33;4,6;4,6;4,6;4,6;4,6;4
1.33,6;15,N/A,6;15,6;15,33;15,6;15,6;15,6;15,6;15,6;15
1.34,6;11,N/A,6;11,6;11,33;11,6;11,6;11,6;11,6;11,6;11
1.35,6;11,N/A,6;11,6;11,33;11,6;11,6;11,6;11,6;11,6;11
1.36,6;28,N/A,6;28,6;28,33;25,6;28,6;28,6;28,6;28,6;25
1.37,6;11,N/A,6;11,6;11,33;9,6;11,6;11,6;11,6;11,6;9
