Circuit Id, Estimated Time
1.0, 0.0040008
1.1, 0.0020007
1.2, 0.0020007
1.3, 0.0020007
1.4, 0.0020008
1.5, 0.0010006
1.6, 0.0010004
1.7, 0.0010006
1.8, 0.0010005
1.9, 0.0030018
1.10, 0.0030013
1.11, 0.0040012
1.12, 2.4E-06
1.13, 4.6E-06
1.14, 7.5E-06
1.15, 1.62E-05
1.16, 0.0050055
1.17, 0.0030159
1.18, 0.0050204
1.19, 0.0020038
1.20, 0.0090407
1.21, 0.0010006
1.22, 0.0150016
1.23, 0.0100011
1.24, 0.0180112
1.25, 0.0020011
1.26, 0.004014
1.27, 0.0050012
1.28, 0.0010024
1.29, 0.0010098
1.30, 0.0010145
1.31, 0.0010048
1.32, 0.0010001
1.33, 0.0010013
1.34, 0.0050009
1.35, 0.006001
1.36, 0.0030039
1.37, 0.0030013
1.38, 0.0129389
