Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,6,N/A,6,6,33,6,6,6,6,6
1.1,6,N/A,6,6,33,6,6,6,6,6
1.2,6,N/A,6,6,33,6,6,6,6,6
1.3,6,N/A,6,6,33,6,6,6,6,6
1.4,6,N/A,6,6,33,6,6,6,6,6
1.5,6,N/A,6,6,33,6,6,6,6,6
1.6,6,N/A,6,6,33,6,6,6,6,6
1.7,6,N/A,6,6,33,6,6,6,6,6
1.8,6,N/A,6,6,33,6,6,6,6,6
1.9,6,N/A,6,6,33,6,6,6,6,6
1.10,6,N/A,6,6,33,6,6,6,6,6
1.11,6,N/A,6,6,33,6,6,6,6,6
1.12,6,N/A,6,6,33,6,6,6,6,6
1.13,6,N/A,6,6,33,6,6,6,6,6
1.14,6,N/A,6,6,33,6,6,6,6,6
1.15,6,N/A,6,6,33,6,6,6,6,6
1.16,6,N/A,6,6,33,6,6,6,6,6
1.17,6,N/A,6,6,33,6,6,6,6,6
1.18,N/A,N/A,N/A,N/A,33,N/A,N/A,N/A,N/A,N/A
1.19,6,N/A,6,6,33,6,6,6,6,6
1.20,N/A,N/A,N/A,N/A,33,N/A,N/A,N/A,N/A,N/A
1.21,6,N/A,6,6,33,6,6,6,6,6
1.22,6,N/A,6,6,33,6,6,6,6,6
1.23,6,N/A,6,6,33,6,6,6,6,6
1.24,6,N/A,6,6,33,6,6,6,6,6
1.25,6,N/A,6,6,33,6,6,6,6,6
1.26,6,N/A,6,6,33,6,6,6,6,6
1.27,6,N/A,6,6,33,6,6,6,6,6
1.28,6,N/A,6,6,33,6,6,6,6,6
1.29,6,N/A,6,6,33,6,6,6,6,6
1.30,6,N/A,6,6,33,6,6,6,6,6
1.31,6,N/A,6,6,33,6,6,6,6,6
1.32,6,2,6,6,33,6,6,6,6,6
1.33,6,N/A,6,6,33,6,6,6,6,6
1.34,6,N/A,6,6,33,6,6,6,6,6
1.35,6,N/A,6,6,33,6,6,6,6,6
1.36,6,N/A,6,6,33,6,6,6,6,6
1.37,6,N/A,6,6,33,6,6,6,6,6
1.38,N/A,N/A,N/A,N/A,33,N/A,N/A,N/A,N/A,N/A
