Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,8,N/A,8,8,2,8,8,8,8,2
1.1,2,N/A,2,2,2,2,2,2,2,2
1.2,2,N/A,2,2,2,2,2,2,2,2
1.3,2,N/A,2,2,2,2,2,2,2,2
1.4,2,N/A,2,2,2,2,2,2,2,2
1.5,0,N/A,0,0,0,0,0,0,0,0
1.6,0,N/A,0,0,0,0,0,0,0,0
1.7,1,N/A,1,1,1,1,1,1,1,1
1.8,0,N/A,0,0,0,0,0,0,0,0
1.9,21,N/A,21,21,3,21,21,21,21,15
1.10,8,N/A,8,8,2,8,8,8,8,2
1.11,28,N/A,34,34,4,34,34,28,34,16
1.12,18,N/A,18,18,6,18,18,18,18,6
1.13,42,N/A,48,48,12,48,48,42,48,24
1.14,68,N/A,74,74,20,74,74,68,74,50
1.15,75,N/A,75,75,33,75,75,75,75,33
1.16,40,N/A,76,76,16,76,76,40,76,16
1.17,174,N/A,174,174,36,174,174,174,174,36
1.18,N/A,N/A,N/A,N/A,68,N/A,N/A,N/A,N/A,N/A
1.19,19,N/A,19,19,7,19,19,19,19,7
