Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Logical Data Precedence Graph.csv,N/A,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Logical Data Precedence Graph.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Logical Data Precedence Graph.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Logical Data Precedence Graph.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Logical Data Precedence Graph.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Logical Data Precedence Graph.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Logical Data Precedence Graph.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Logical Data Precedence Graph.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Logical Data Precedence Graph.csv
1.1,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Logical Data Precedence Graph.csv,N/A,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Logical Data Precedence Graph.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Logical Data Precedence Graph.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Logical Data Precedence Graph.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Logical Data Precedence Graph.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Logical Data Precedence Graph.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Logical Data Precedence Graph.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Logical Data Precedence Graph.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Logical Data Precedence Graph.csv
1.2,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Logical Data Precedence Graph.csv,N/A,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Logical Data Precedence Graph.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Logical Data Precedence Graph.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Logical Data Precedence Graph.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Logical Data Precedence Graph.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Logical Data Precedence Graph.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Logical Data Precedence Graph.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Logical Data Precedence Graph.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Logical Data Precedence Graph.csv
1.3,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Logical Data Precedence Graph.csv,N/A,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Logical Data Precedence Graph.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Logical Data Precedence Graph.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Logical Data Precedence Graph.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Logical Data Precedence Graph.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Logical Data Precedence Graph.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Logical Data Precedence Graph.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Logical Data Precedence Graph.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Logical Data Precedence Graph.csv
1.4,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Logical Data Precedence Graph.csv,N/A,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Logical Data Precedence Graph.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Logical Data Precedence Graph.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Logical Data Precedence Graph.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Logical Data Precedence Graph.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Logical Data Precedence Graph.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Logical Data Precedence Graph.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Logical Data Precedence Graph.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Logical Data Precedence Graph.csv
1.5,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Logical Data Precedence Graph.csv,N/A,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Logical Data Precedence Graph.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Logical Data Precedence Graph.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Logical Data Precedence Graph.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Logical Data Precedence Graph.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Logical Data Precedence Graph.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Logical Data Precedence Graph.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Logical Data Precedence Graph.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Logical Data Precedence Graph.csv
1.6,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Logical Data Precedence Graph.csv,N/A,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Logical Data Precedence Graph.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Logical Data Precedence Graph.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Logical Data Precedence Graph.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Logical Data Precedence Graph.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Logical Data Precedence Graph.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Logical Data Precedence Graph.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Logical Data Precedence Graph.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Logical Data Precedence Graph.csv
1.7,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Logical Data Precedence Graph.csv,N/A,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Logical Data Precedence Graph.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Logical Data Precedence Graph.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Logical Data Precedence Graph.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Logical Data Precedence Graph.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Logical Data Precedence Graph.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Logical Data Precedence Graph.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Logical Data Precedence Graph.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Logical Data Precedence Graph.csv
1.8,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Logical Data Precedence Graph.csv,N/A,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Logical Data Precedence Graph.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Logical Data Precedence Graph.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Logical Data Precedence Graph.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Logical Data Precedence Graph.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Logical Data Precedence Graph.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Logical Data Precedence Graph.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Logical Data Precedence Graph.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Logical Data Precedence Graph.csv
1.9,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Logical Data Precedence Graph.csv,N/A,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Logical Data Precedence Graph.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Logical Data Precedence Graph.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Logical Data Precedence Graph.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Logical Data Precedence Graph.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Logical Data Precedence Graph.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Logical Data Precedence Graph.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Logical Data Precedence Graph.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Logical Data Precedence Graph.csv
