Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Physical Data Precedence Table.csv,N/A,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Physical Data Precedence Table.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Physical Data Precedence Table.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Physical Data Precedence Table.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Physical Data Precedence Table.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Physical Data Precedence Table.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Physical Data Precedence Table.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Physical Data Precedence Table.csv,2020-06-30 21.45PM - 1.0 Quantum Teleportation - Physical Data Precedence Table.csv
1.1,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Physical Data Precedence Table.csv,N/A,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Physical Data Precedence Table.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Physical Data Precedence Table.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Physical Data Precedence Table.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Physical Data Precedence Table.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Physical Data Precedence Table.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Physical Data Precedence Table.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Physical Data Precedence Table.csv,2020-06-30 21.46PM - 1.1 Superdense coding of 0 - Physical Data Precedence Table.csv
1.2,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Physical Data Precedence Table.csv,N/A,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Physical Data Precedence Table.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Physical Data Precedence Table.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Physical Data Precedence Table.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Physical Data Precedence Table.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Physical Data Precedence Table.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Physical Data Precedence Table.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Physical Data Precedence Table.csv,2020-06-30 21.47PM - 1.2 Superdense coding of 1 - Physical Data Precedence Table.csv
1.3,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Physical Data Precedence Table.csv,N/A,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Physical Data Precedence Table.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Physical Data Precedence Table.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Physical Data Precedence Table.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Physical Data Precedence Table.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Physical Data Precedence Table.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Physical Data Precedence Table.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Physical Data Precedence Table.csv,2020-06-30 21.48PM - 1.3 Superdense coding of 2 - Physical Data Precedence Table.csv
1.4,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Physical Data Precedence Table.csv,N/A,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Physical Data Precedence Table.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Physical Data Precedence Table.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Physical Data Precedence Table.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Physical Data Precedence Table.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Physical Data Precedence Table.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Physical Data Precedence Table.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Physical Data Precedence Table.csv,2020-06-30 21.49PM - 1.4 Superdense coding of 3 - Physical Data Precedence Table.csv
1.5,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Physical Data Precedence Table.csv,N/A,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Physical Data Precedence Table.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Physical Data Precedence Table.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Physical Data Precedence Table.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Physical Data Precedence Table.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Physical Data Precedence Table.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Physical Data Precedence Table.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Physical Data Precedence Table.csv,2020-06-30 21.51PM - 1.5 Deutsch Algorithm Constant True - Physical Data Precedence Table.csv
1.6,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Physical Data Precedence Table.csv,N/A,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Physical Data Precedence Table.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Physical Data Precedence Table.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Physical Data Precedence Table.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Physical Data Precedence Table.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Physical Data Precedence Table.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Physical Data Precedence Table.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Physical Data Precedence Table.csv,2020-06-30 21.52PM - 1.6 Deutsch Algorithm Constant False - Physical Data Precedence Table.csv
1.7,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Physical Data Precedence Table.csv,N/A,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Physical Data Precedence Table.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Physical Data Precedence Table.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Physical Data Precedence Table.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Physical Data Precedence Table.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Physical Data Precedence Table.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Physical Data Precedence Table.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Physical Data Precedence Table.csv,2020-06-30 21.53PM - 1.7 Deutsch Algorithm Identity - Physical Data Precedence Table.csv
1.8,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Physical Data Precedence Table.csv,N/A,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Physical Data Precedence Table.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Physical Data Precedence Table.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Physical Data Precedence Table.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Physical Data Precedence Table.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Physical Data Precedence Table.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Physical Data Precedence Table.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Physical Data Precedence Table.csv,2020-06-30 21.54PM - 1.8 Deutsch Algorithm Inversion - Physical Data Precedence Table.csv
1.9,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Physical Data Precedence Table.csv,N/A,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.9 Deutsch-Josza with 3 qubits - Physical Data Precedence Table.csv
1.10,2020-06-30 21.55PM - 1.10 Bernstein Vazrani for value 3 with 3 qubits - Physical Data Precedence Table.csv,N/A,2020-06-30 21.55PM - 1.10 Bernstein Vazrani for value 3 with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.10 Bernstein Vazrani for value 3 with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.10 Bernstein Vazrani for value 3 with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.10 Bernstein Vazrani for value 3 with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.10 Bernstein Vazrani for value 3 with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.10 Bernstein Vazrani for value 3 with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.10 Bernstein Vazrani for value 3 with 3 qubits - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.10 Bernstein Vazrani for value 3 with 3 qubits - Physical Data Precedence Table.csv
1.11,2020-06-30 21.55PM - 1.11 Simons Algorithm for 11 - Physical Data Precedence Table.csv,N/A,2020-06-30 21.55PM - 1.11 Simons Algorithm for 11 - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.11 Simons Algorithm for 11 - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.11 Simons Algorithm for 11 - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.11 Simons Algorithm for 11 - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.11 Simons Algorithm for 11 - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.11 Simons Algorithm for 11 - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.11 Simons Algorithm for 11 - Physical Data Precedence Table.csv,2020-06-30 21.55PM - 1.11 Simons Algorithm for 11 - Physical Data Precedence Table.csv
1.12,2020-06-30 21.56PM - 1.12 3 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,N/A,2020-06-30 21.56PM - 1.12 3 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.12 3 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.12 3 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.12 3 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.12 3 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.12 3 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.12 3 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.12 3 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv
1.13,2020-06-30 21.56PM - 1.13 4 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,N/A,2020-06-30 21.56PM - 1.13 4 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.13 4 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.13 4 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.13 4 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.13 4 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.13 4 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.13 4 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.13 4 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv
1.14,2020-06-30 21.56PM - 1.14 5 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,N/A,2020-06-30 21.56PM - 1.14 5 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.14 5 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.14 5 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.14 5 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.14 5 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.14 5 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.14 5 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv,2020-06-30 21.56PM - 1.14 5 Qubit Quantum Fourier Transform - Physical Data Precedence Table.csv
