Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,London,Ourense,Rome,Vigo,Yorktown
1.0,2,N/A,2,2,2,2,2,2,0
1.1,0,N/A,0,0,0,0,0,0,0
1.2,0,N/A,0,0,0,0,0,0,0
1.3,0,N/A,0,0,0,0,0,0,0
1.4,0,N/A,0,0,0,0,0,0,0
1.5,0,N/A,0,0,0,0,0,0,0
1.6,0,N/A,0,0,0,0,0,0,0
1.7,0,N/A,0,0,0,0,0,0,0
1.8,0,N/A,0,0,0,0,0,0,0
1.9,6,N/A,6,6,6,6,6,6,4
1.10,2,N/A,2,2,2,2,2,2,0
1.11,8,N/A,10,10,10,10,8,10,4
1.12,4,N/A,4,4,4,4,4,4,0
1.13,10,N/A,12,12,12,12,10,12,4
1.16,8,N/A,20,20,20,20,8,20,0
1.19,4,N/A,4,4,4,4,4,4,0
1.21,0,N/A,0,0,0,0,0,0,0
1.22,0,N/A,0,0,0,0,0,0,0
1.23,0,N/A,0,0,0,0,0,0,0
1.25,0,N/A,0,0,0,0,0,0,0
1.27,18,N/A,14,14,14,14,18,14,8
1.28,4,N/A,4,4,4,4,4,4,0
1.31,10,N/A,12,12,12,12,10,12,6
1.32,0,0,0,0,0,0,0,0,0
1.33,0,N/A,0,0,0,0,0,0,0
1.34,0,N/A,0,0,0,0,0,0,0
1.35,0,N/A,0,0,0,0,0,0,0
1.36,6,N/A,6,6,6,6,6,6,0
1.37,4,N/A,4,4,4,4,4,4,0
