Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,London,Ourense,Rome,Vigo,Yorktown
1.0,00:00:00.0386165,N/A,00:00:00.0016275,00:00:00.0011774,00:00:00.0017402,00:00:00.0011058,00:00:00.0011121,00:00:00.0010881,00:00:00.0010500
1.1,00:00:00.0090870,N/A,00:00:00.0055965,00:00:00.0051614,00:00:00.0049581,00:00:00.0048010,00:00:00.0056292,00:00:00.0048958,00:00:00.0047714
1.2,00:00:00.0026054,N/A,00:00:00.0018669,00:00:00.0018184,00:00:00.0021928,00:00:00.0018161,00:00:00.0015297,00:00:00.0016124,00:00:00.0015494
1.3,00:00:00.0078437,N/A,00:00:00.0051719,00:00:00.0049808,00:00:00.0048832,00:00:00.0050816,00:00:00.0053830,00:00:00.0049596,00:00:00.0053695
1.4,00:00:00.0133618,N/A,00:00:00.0050029,00:00:00.0047102,00:00:00.0048316,00:00:00.0044146,00:00:00.0045200,00:00:00.0057105,00:00:00.0051235
1.5,00:00:00.0068082,N/A,00:00:00.0050216,00:00:00.0047374,00:00:00.0048341,00:00:00.0050180,00:00:00.0048766,00:00:00.0048394,00:00:00.0048213
1.6,00:00:00.0442239,N/A,00:00:00.0052341,00:00:00.0051159,00:00:00.0056596,00:00:00.0056414,00:00:00.0047486,00:00:00.0046595,00:00:00.0050476
1.7,00:00:00.0053196,N/A,00:00:00.0014216,00:00:00.0012776,00:00:00.0013104,00:00:00.0012183,00:00:00.0013240,00:00:00.0014276,00:00:00.0013823
1.8,00:00:00.0016420,N/A,00:00:00.0013238,00:00:00.0013206,00:00:00.0012572,00:00:00.0011879,00:00:00.0011988,00:00:00.0012245,00:00:00.0011526
1.9,00:00:00.0087257,N/A,00:00:00.0059367,00:00:00.0052939,00:00:00.0053201,00:00:00.0055826,00:00:00.0053464,00:00:00.0068750,00:00:00.0048503
1.10,00:00:00.0043548,N/A,00:00:00.0018985,00:00:00.0016456,00:00:00.0015680,00:00:00.0015976,00:00:00.0014587,00:00:00.0014905,00:00:00.0015563
1.11,00:00:00.0016431,N/A,00:00:00.0021013,00:00:00.0018313,00:00:00.0017804,00:00:00.0018258,00:00:00.0014976,00:00:00.0017503,00:00:00.0014064
1.12,00:00:00.0065060,N/A,00:00:00.0054276,00:00:00.0054264,00:00:00.0050659,00:00:00.0051605,00:00:00.0053943,00:00:00.0051943,00:00:00.0050770
1.13,00:00:00.0108777,N/A,00:00:00.0092505,00:00:00.0087174,00:00:00.0089539,00:00:00.0089299,00:00:00.0097472,00:00:00.0095424,00:00:00.0080983
1.16,00:00:00.0226712,N/A,00:00:00.0221551,00:00:00.0228584,00:00:00.0220953,00:00:00.0164436,00:00:00.0094423,00:00:00.0104996,00:00:00.0065259
1.19,00:00:00.0092965,N/A,00:00:00.0081639,00:00:00.0047233,00:00:00.0040501,00:00:00.0030132,00:00:00.0029757,00:00:00.0029510,00:00:00.0023156
1.21,00:00:00.0014302,N/A,00:00:00.0010329,00:00:00.0009569,00:00:00.0009863,00:00:00.0009807,00:00:00.0009812,00:00:00.0009628,00:00:00.0010530
1.22,00:00:00.0080272,N/A,00:00:00.0059004,00:00:00.0057977,00:00:00.0055476,00:00:00.0057609,00:00:00.0059618,00:00:00.0056336,00:00:00.0062548
1.23,00:00:00.0073259,N/A,00:00:00.0053437,00:00:00.0054262,00:00:00.0050974,00:00:00.0050326,00:00:00.0046729,00:00:00.0049920,00:00:00.0055664
1.25,00:00:00.0063390,N/A,00:00:00.0049832,00:00:00.0045699,00:00:00.0044800,00:00:00.0048896,00:00:00.0048366,00:00:00.0046624,00:00:00.0047930
1.27,00:00:00.0073174,N/A,00:00:00.0061858,00:00:00.0058187,00:00:00.0061049,00:00:00.0059789,00:00:00.0059928,00:00:00.0055386,00:00:00.0042111
1.28,00:00:00.0021237,N/A,00:00:00.0018383,00:00:00.0017675,00:00:00.0015404,00:00:00.0015175,00:00:00.0014962,00:00:00.0014883,00:00:00.0017114
1.31,00:00:00.0124175,N/A,00:00:00.0133587,00:00:00.0127646,00:00:00.0096717,00:00:00.0067994,00:00:00.0058855,00:00:00.0052685,00:00:00.0046974
1.32,00:00:00.0063723,00:00:00.0039674,00:00:00.0037898,00:00:00.0039321,00:00:00.0041219,00:00:00.0038193,00:00:00.0039198,00:00:00.0040894,00:00:00.0047139
1.33,00:00:00.0073839,N/A,00:00:00.0059470,00:00:00.0082453,00:00:00.0057378,00:00:00.0060490,00:00:00.0057109,00:00:00.0055490,00:00:00.0060199
1.34,00:00:00.0016844,N/A,00:00:00.0014105,00:00:00.0012210,00:00:00.0013707,00:00:00.0019405,00:00:00.0011718,00:00:00.0011455,00:00:00.0011427
1.35,00:00:00.0061618,N/A,00:00:00.0049967,00:00:00.0048950,00:00:00.0047208,00:00:00.0046473,00:00:00.0049221,00:00:00.0051707,00:00:00.0045142
1.36,00:00:00.0078445,N/A,00:00:00.0069100,00:00:00.0069294,00:00:00.0069692,00:00:00.0070094,00:00:00.0070355,00:00:00.0070491,00:00:00.0068523
1.37,00:00:00.0059093,N/A,00:00:00.0050426,00:00:00.0050322,00:00:00.0051702,00:00:00.0050487,00:00:00.0049345,00:00:00.0048920,00:00:00.0050130
