Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,London,Ourense,Rome,Vigo,Yorktown
1.0,0.0386165,N/A,0.0016275,0.0011774,0.0017402,0.0011058,0.0011121,0.0010881,0.00105
1.1,0.009087,N/A,0.0055965,0.0051614,0.0049581,0.004801,0.0056292,0.0048958,0.0047714
1.2,0.0026054,N/A,0.0018669,0.0018184,0.0021928,0.0018161,0.0015297,0.0016124,0.0015494
1.3,0.0078437,N/A,0.0051719,0.0049808,0.0048832,0.0050816,0.005383,0.0049596,0.0053695
1.4,0.0133618,N/A,0.0050029,0.0047102,0.0048316,0.0044146,0.00452,0.0057105,0.0051235
1.5,0.0068082,N/A,0.0050216,0.0047374,0.0048341,0.005018,0.0048766,0.0048394,0.0048213
1.6,0.0442239,N/A,0.0052341,0.0051159,0.0056596,0.0056414,0.0047486,0.0046595,0.0050476
1.7,0.0053196,N/A,0.0014216,0.0012776,0.0013104,0.0012183,0.001324,0.0014276,0.0013823
1.8,0.001642,N/A,0.0013238,0.0013206,0.0012572,0.0011879,0.0011988,0.0012245,0.0011526
1.9,0.0087257,N/A,0.0059367,0.0052939,0.0053201,0.0055826,0.0053464,0.006875,0.0048503
1.10,0.0043548,N/A,0.0018985,0.0016456,0.001568,0.0015976,0.0014587,0.0014905,0.0015563
1.11,0.0016431,N/A,0.0021013,0.0018313,0.0017804,0.0018258,0.0014976,0.0017503,0.0014064
1.12,0.006506,N/A,0.0054276,0.0054264,0.0050659,0.0051605,0.0053943,0.0051943,0.005077
1.13,0.0108777,N/A,0.0092505,0.0087174,0.0089539,0.0089299,0.0097472,0.0095424,0.0080983
1.16,0.0226712,N/A,0.0221551,0.0228584,0.0220953,0.0164436,0.0094423,0.0104996,0.0065259
1.19,0.0092965,N/A,0.0081639,0.0047233,0.0040501,0.0030132,0.0029757,0.002951,0.0023156
1.21,0.0014302,N/A,0.0010329,0.0009569,0.0009863,0.0009807,0.0009812,0.0009628,0.001053
1.22,0.0080272,N/A,0.0059004,0.0057977,0.0055476,0.0057609,0.0059618,0.0056336,0.0062548
1.23,0.0073259,N/A,0.0053437,0.0054262,0.0050974,0.0050326,0.0046729,0.004992,0.0055664
1.25,0.006339,N/A,0.0049832,0.0045699,0.00448,0.0048896,0.0048366,0.0046624,0.004793
1.27,0.0073174,N/A,0.0061858,0.0058187,0.0061049,0.0059789,0.0059928,0.0055386,0.0042111
1.28,0.0021237,N/A,0.0018383,0.0017675,0.0015404,0.0015175,0.0014962,0.0014883,0.0017114
1.31,0.0124175,N/A,0.0133587,0.0127646,0.0096717,0.0067994,0.0058855,0.0052685,0.0046974
1.32,0.0063723,0.0039674,0.0037898,0.0039321,0.0041219,0.0038193,0.0039198,0.0040894,0.0047139
1.33,0.0073839,N/A,0.005947,0.0082453,0.0057378,0.006049,0.0057109,0.005549,0.0060199
1.34,0.0016844,N/A,0.0014105,0.001221,0.0013707,0.0019405,0.0011718,0.0011455,0.0011427
1.35,0.0061618,N/A,0.0049967,0.004895,0.0047208,0.0046473,0.0049221,0.0051707,0.0045142
1.36,0.0078445,N/A,0.00691,0.0069294,0.0069692,0.0070094,0.0070355,0.0070491,0.0068523
1.37,0.0059093,N/A,0.0050426,0.0050322,0.0051702,0.0050487,0.0049345,0.004892,0.005013
