Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,London,Ourense,Rome,Vigo,Yorktown
1.0,0.0040014,N/A,0.0040014,0.0040014,0.0040014,0.0040014,0.0040014,0.0040014,0.0040008
1.1,0.0010007,N/A,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007
1.2,0.0010007,N/A,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007
1.3,0.0010007,N/A,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007
1.4,0.0010008,N/A,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008
1.5,0.0010005,N/A,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005
1.6,0.0010004,N/A,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004
1.7,0.0010005,N/A,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005
1.8,0.0010005,N/A,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005
1.9,0.0010024,N/A,0.001003,0.001003,0.001003,0.001003,0.0010024,0.001003,0.0010024
1.10,0.0010016,N/A,0.0010016,0.0010016,0.0010016,0.0010016,0.0010016,0.0010016,0.001001
1.11,0.0010027,N/A,0.0010039,0.0010039,0.0010039,0.0010039,0.0010027,0.0010039,0.0010021
1.12,0.0000031,N/A,0.0000031,0.0000031,0.0000031,0.0000031,0.0000031,0.0000031,0.0000019
1.13,0.0000055,N/A,0.0000067,0.0000067,0.0000067,0.0000067,0.0000055,0.0000067,0.0000043
1.16,0.001007,N/A,0.0010106,0.0010106,0.0010106,0.0010106,0.001007,0.0010106,0.0010046
1.19,0.0010043,N/A,0.0010043,0.0010043,0.0010043,0.0010043,0.0010043,0.0010043,0.0010031
1.21,0.0010005,N/A,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005
1.22,0.0150016,N/A,0.0150016,0.0150016,0.0150016,0.0150016,0.0150016,0.0150016,0.0150016
1.23,0.010001,N/A,0.010001,0.010001,0.010001,0.010001,0.010001,0.010001,0.010001
1.25,0.0010009,N/A,0.0010009,0.0010009,0.0010009,0.0010009,0.0010009,0.0010009,0.0010009
1.27,0.005006,N/A,0.0050048,0.0050048,0.0050048,0.0050048,0.005006,0.0050048,0.0050036
1.28,0.0010034,N/A,0.0010034,0.0010034,0.0010034,0.0010034,0.0010034,0.0010034,0.0010022
1.31,0.0010056,N/A,0.0010068,0.0010068,0.0010068,0.0010068,0.0010056,0.0010068,0.001005
1.32,0.0010001,0.0010001,0.0010001,0.0010001,0.0010001,0.0010001,0.0010001,0.0010001,0.0010001
1.33,0.0010012,N/A,0.0010012,0.0010012,0.0010012,0.0010012,0.0010012,0.0010012,0.0010012
1.34,0.0050009,N/A,0.0050009,0.0050009,0.0050009,0.0050009,0.0050009,0.0050009,0.0050009
1.35,0.005001,N/A,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001
1.36,0.0010051,N/A,0.0010051,0.0010051,0.0010051,0.0010051,0.0010051,0.0010051,0.0010033
1.37,0.0010023,N/A,0.0010023,0.0010023,0.0010023,0.0010023,0.0010023,0.0010023,0.0010011
