"Operation Index","Operation Name","Latency","Priority"
0,"u3 (31527F1)","00:00:00.0010000","17"
1,"u3 (3BE677A)","00:00:00.0010000","19"
2,"cx (1B1A34B)","00:00:00.0020000","18"
3,"barrier (33EBDA5)","00:00:00.0010000","16"
4,"cx (134AAD1)","00:00:00.0020000","15"
5,"u3 (2DA0161)","00:00:00.0010000","13"
6,"measurement (1AA0C6D)","00:00:00.0030000","12"
7,"measurement (2FA6FD5)","00:00:00.0030000","12"
8,"if 1 then u3 (2CDEE84)","00:00:00.0020000","9"
9,"if 2 then u3 (13D62AA)","00:00:00.0020000","7"
10,"if 3 then u3 (3287800)","00:00:00.0020000","5"
11,"measurement (6C3808)","00:00:00.0030000","3"
