Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,London,Ourense,Rome,Vigo,Yorktown
1.0,0.0000006,N/A,0.0000006,0.0000006,0.0000006,0.0000006,0.0000006,0.0000006,0.
1.1,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
1.2,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
1.3,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
1.4,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
1.5,-0.0000001,N/A,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001
1.6,0.,N/A,0.,0.,0.,0.,0.,0.,0.
1.7,-0.0000001,N/A,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001
1.8,0.,N/A,0.,0.,0.,0.,0.,0.,0.
1.9,-0.0019994,N/A,-0.0019988,-0.0019988,-0.0019988,-0.0019988,-0.0019994,-0.0019988,-0.0019994
1.10,-0.0019997,N/A,-0.0019997,-0.0019997,-0.0019997,-0.0019997,-0.0019997,-0.0019997,-0.0020003
1.11,-0.0029985,N/A,-0.0029973,-0.0029973,-0.0029973,-0.0029973,-0.0029985,-0.0029973,-0.0029991
1.12,0.0000007,N/A,0.0000007,0.0000007,0.0000007,0.0000007,0.0000007,0.0000007,-0.0000005
1.13,0.0000009,N/A,0.0000021,0.0000021,0.0000021,0.0000021,0.0000009,0.0000021,-0.0000003
1.16,-0.0039985,N/A,-0.0039949,-0.0039949,-0.0039949,-0.0039949,-0.0039985,-0.0039949,-0.0040009
1.19,-0.0009995,N/A,-0.0009995,-0.0009995,-0.0009995,-0.0009995,-0.0009995,-0.0009995,-0.0010007
1.21,-0.0000001,N/A,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001
1.22,0.,N/A,0.,0.,0.,0.,0.,0.,0.
1.23,-0.0000001,N/A,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001
1.25,-0.0010002,N/A,-0.0010002,-0.0010002,-0.0010002,-0.0010002,-0.0010002,-0.0010002,-0.0010002
1.27,0.0000048,N/A,0.0000036,0.0000036,0.0000036,0.0000036,0.0000048,0.0000036,0.0000024
1.28,0.000001,N/A,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,-0.0000002
1.31,0.0000008,N/A,0.000002,0.000002,0.000002,0.000002,0.0000008,0.000002,0.0000002
1.32,0.,0.,0.,0.,0.,0.,0.,0.,0.
1.33,-0.0000001,N/A,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001,-0.0000001
1.34,0.,N/A,0.,0.,0.,0.,0.,0.,0.
1.35,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
1.36,-0.0019988,N/A,-0.0019988,-0.0019988,-0.0019988,-0.0019988,-0.0019988,-0.0019988,-0.0020006
1.37,-0.001999,N/A,-0.001999,-0.001999,-0.001999,-0.001999,-0.001999,-0.001999,-0.0020002
