Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,0.0040014,N/A,0.0040014,0.0040014,0.0040008,0.0040014,0.0040014,0.0040014,0.0040014,0.0040008
1.1,0.0010007,N/A,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007
1.2,0.0010007,N/A,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007
1.3,0.0010007,N/A,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007
1.4,0.0010008,N/A,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008
1.5,0.0010005,N/A,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005
1.6,0.0010004,N/A,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004
1.7,0.0010005,N/A,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005
1.8,0.0010005,N/A,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005
1.9,0.0010024,N/A,0.001003,0.001003,0.0010012,0.001003,0.001003,0.0010024,0.001003,0.0010024
1.10,0.0010016,N/A,0.0010016,0.0010016,0.001001,0.0010016,0.0010016,0.0010016,0.0010016,0.001001
1.11,0.0010027,N/A,0.0010039,0.0010039,0.0010009,0.0010039,0.0010039,0.0010027,0.0010039,0.0010021
1.12,0.0000031,N/A,0.0000031,0.0000031,0.0000019,0.0000031,0.0000031,0.0000031,0.0000031,0.0000019
1.13,0.0000055,N/A,0.0000067,0.0000067,0.0000031,0.0000067,0.0000067,0.0000055,0.0000067,0.0000043
1.14,0.0000091,N/A,0.0000097,0.0000097,0.0000043,0.0000097,0.0000097,0.0000091,0.0000097,0.0000073
1.15,0.0000183,N/A,0.0000183,0.0000183,0.0000141,0.0000183,0.0000183,0.0000183,0.0000183,0.0000141
1.16,0.001007,N/A,0.0010106,0.0010106,0.0010046,0.0010106,0.0010106,0.001007,0.0010106,0.0010046
1.17,0.0010259,N/A,0.0010259,0.0010259,0.0010121,0.0010259,0.0010259,0.0010259,0.0010259,0.0010121
1.18,N/A,N/A,N/A,N/A,0.0010174,N/A,N/A,N/A,N/A,N/A
1.19,0.0010043,N/A,0.0010043,0.0010043,0.0010031,0.0010043,0.0010043,0.0010043,0.0010043,0.0010031
