"Operation Index","Operation Name","Latency","Priority"
0,"u3 (2F424FF)","00:00:00.0010000","12"
1,"u3 (2954CF8)","00:00:00.0010000","11"
2,"u3 (33FB4BD)","00:00:00.0010000","10"
3,"u3 (13D5AA5)","00:00:00.0010000","10"
4,"cx (3282FD3)","00:00:00.0020000","9"
5,"u3 (69AE6F)","00:00:00.0010000","7"
6,"u3 (3B721EA)","00:00:00.0010000","7"
7,"cx (170313D)","00:00:00.0020000","6"
8,"u3 (F1BB29)","00:00:00.0010000","4"
9,"measurement (7F9478)","00:00:00.0030000","3"
10,"measurement (7C3839)","00:00:00.0030000","3"
