Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,0.030216,N/A,0.0010846,0.0009133,0.0008893,0.0009045,0.0009621,0.000872,0.0009175,0.0008408
1.1,0.0020179,N/A,0.0014371,0.0008943,0.0009257,0.0009117,0.0008606,0.0009456,0.0010723,0.000925
1.2,0.0074051,N/A,0.0057127,0.0055108,0.0048558,0.0046872,0.0050754,0.00643,0.0055546,0.0042901
1.3,0.0012419,N/A,0.0009536,0.0009031,0.000896,0.0008766,0.0008348,0.0009132,0.0008482,0.0008207
1.4,0.009173,N/A,0.0032337,0.0034648,0.0034052,0.0031293,0.0030365,0.0030799,0.003018,0.0030793
1.5,0.0012718,N/A,0.0008957,0.0008519,0.0008515,0.0008803,0.0008665,0.0008825,0.0008561,0.0009672
1.6,0.0402927,N/A,0.0036843,0.0033583,0.0034607,0.0033641,0.003349,0.0035106,0.00304,0.0023428
1.7,0.0044693,N/A,0.003894,0.0036449,0.0037352,0.0037493,0.0037349,0.0036798,0.0037455,0.0037295
1.8,0.0044056,N/A,0.0037866,0.0037942,0.0037961,0.0035801,0.0036676,0.0036018,0.0036232,0.0036441
1.9,0.0022546,N/A,0.0012118,0.0013501,0.0011221,0.0011605,0.0011614,0.001199,0.0009561,0.0010129
1.10,0.0020511,N/A,0.0013222,0.0012418,0.0012109,0.0012167,0.0011742,0.0011768,0.001182,0.0012996
1.11,0.0017081,N/A,0.0017234,0.001529,0.0012155,0.0015943,0.0015619,0.001252,0.0015755,0.0012736
1.12,0.0013042,N/A,0.001016,0.000946,0.0009381,0.0009698,0.000962,0.0009911,0.0009517,0.0009229
1.13,0.0025154,N/A,0.0022949,0.0022534,0.0019282,0.0022643,0.002291,0.0019485,0.0022391,0.0019776
1.19,0.0021889,N/A,0.0017862,0.0017134,0.0017514,0.001757,0.0017902,0.0018625,0.001815,0.0017517
1.21,0.002056,N/A,0.0017332,0.0014064,0.0012522,0.0011889,0.0012284,0.0010276,0.0010515,0.0010185
1.22,0.0016542,N/A,0.0010572,0.001262,0.0011072,0.0010567,0.0010696,0.0010133,0.0010119,0.0011826
1.23,0.0011976,N/A,0.0009423,0.0009288,0.0009365,0.0009112,0.0009217,0.000909,0.0009697,0.0009132
1.25,0.0017922,N/A,0.0012362,0.0010347,0.000943,0.0011612,0.0009564,0.0009781,0.0009414,0.0009636
1.27,0.0016815,N/A,0.00137,0.0013414,0.0010849,0.0013598,0.0012389,0.0012903,0.0012608,0.0012788
1.28,0.0013962,N/A,0.0010573,0.0009944,0.0009935,0.0010257,0.0010372,0.0010217,0.0010184,0.0009921
1.31,0.0027173,N/A,0.0027063,0.0027253,0.0025048,0.0031852,0.0026014,0.0023627,0.0026223,0.0025127
1.32,0.0012961,0.0009913,0.0009776,0.0009118,0.0009399,0.0011111,0.000953,0.0009192,0.0008691,0.0008839
1.33,0.0015952,N/A,0.001112,0.0013688,0.0010774,0.0010317,0.0010002,0.001086,0.0011298,0.0009633
1.34,0.0015092,N/A,0.0012407,0.0010362,0.0010946,0.0012212,0.0013338,0.0009928,0.0009751,0.0010551
1.35,0.0014302,N/A,0.0013975,0.0013109,0.0014049,0.0011112,0.0010956,0.0010638,0.0010153,0.0010249
1.36,0.0023088,N/A,0.0019068,0.0014333,0.0014247,0.0014341,0.001395,0.0013642,0.0013312,0.0013163
1.37,0.0012271,N/A,0.0009611,0.0008946,0.0008958,0.000952,0.000915,0.0009039,0.0009,0.0009311
