"Operation Index","Operation Name","Latency","Priority"
0,"u3 (FBA1A2)","00:00:00.0010000","22"
1,"barrier (D8AEB2)","00:00:00.0010000","21"
2,"cx (39E2445)","00:00:00.0020000","20"
3,"cx (8F4675)","00:00:00.0020000","18"
4,"cx (1097A22)","00:00:00.0020000","16"
5,"cx (1554B35)","00:00:00.0020000","14"
6,"measurement (3FFA4DF)","00:00:00.0030000","12"
7,"if 1 then u3 (3FCCBD9)","00:00:00.0020000","9"
8,"if 2 then u3 (3E32AA4)","00:00:00.0020000","7"
9,"if 3 then u3 (2FC7FCA)","00:00:00.0020000","5"
10,"measurement (2E07E1A)","00:00:00.0030000","3"
