Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,172800.,N/A,172800.,172800.,0.,172800.,172800.,172800.,172800.,0.
1.1,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.2,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.3,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.4,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.5,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.6,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.7,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.8,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.9,518400.,N/A,518400.,518400.,0.,518400.,518400.,518400.,518400.,345600.
1.10,172800.,N/A,172800.,172800.,0.,172800.,172800.,172800.,172800.,0.
1.11,691200.,N/A,864000.,864000.,0.,864000.,864000.,691200.,864000.,345600.
1.12,345600.,N/A,345600.,345600.,0.,345600.,345600.,345600.,345600.,0.
1.13,864000.,N/A,1036800.,1036800.,0.,1036800.,1036800.,864000.,1036800.,345600.
1.19,345600.,N/A,345600.,345600.,0.,345600.,345600.,345600.,345600.,0.
1.21,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.22,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.23,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.25,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.27,1555200.,N/A,1209600.,1209600.,0.,1209600.,1209600.,1555200.,1209600.,691200.
1.28,345600.,N/A,345600.,345600.,0.,345600.,345600.,345600.,345600.,0.
1.31,864000.,N/A,1036800.,1036800.,0.,1036800.,1036800.,864000.,1036800.,518400.
1.32,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1.33,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.34,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.35,0.,N/A,0.,0.,0.,0.,0.,0.,0.,0.
1.36,518400.,N/A,518400.,518400.,0.,518400.,518400.,518400.,518400.,0.
1.37,345600.,N/A,345600.,345600.,0.,345600.,345600.,345600.,345600.,0.
