"Operation Index","Operation Name","Latency","Priority"
0,"u3 (2516EF2)","00:00:00.0010000","24"
1,"u3 (DCE684)","00:00:00.0010000","23"
2,"cx (3C41AA6)","00:00:00.0020000","22"
3,"u3 (1E4EFD9)","00:00:00.0010000","20"
4,"cx (10C6EA7)","00:00:00.0020000","19"
5,"u3 (16FE3DF)","00:00:00.0010000","13"
6,"u3 (EF02DC)","00:00:00.0010000","12"
7,"u3 (6719BD)","00:00:00.0010000","17"
8,"cx (39FE7AD)","00:00:00.0020000","16"
9,"u3 (9F251C)","00:00:00.0010000","14"
10,"cx (1984E04)","00:00:00.0020000","13"
11,"u3 (25ABE24)","00:00:00.0010000","11"
12,"u3 (130AF46)","00:00:00.0010000","11"
13,"cx (2B6297C)","00:00:00.0020000","10"
14,"u3 (67755D)","00:00:00.0010000","8"
15,"cx (3A3204C)","00:00:00.0020000","7"
16,"u3 (BC22B1)","00:00:00.0010000","5"
17,"u3 (29D383D)","00:00:00.0010000","4"
18,"measurement (386FA29)","00:00:00.0030000","3"
