"Operation Index","Operation Name","Latency","Priority"
0,"u3 (255CD2A)","00:00:00.0010000","18"
1,"barrier (1043681)","00:00:00.0010000","17"
2,"u3 (125EA89)","00:00:00.0010000","16"
3,"cx (2553ED4)","00:00:00.0020000","15"
4,"u3 (FF357C)","00:00:00.0010000","13"
5,"barrier (F8E161)","00:00:00.0010000","12"
6,"u3 (BFEC6C)","00:00:00.0010000","11"
7,"u3 (2BF4FCE)","00:00:00.0010000","11"
8,"cx (B9CE40)","00:00:00.0020000","10"
9,"u3 (2884043)","00:00:00.0010000","8"
10,"barrier (2CA4261)","00:00:00.0010000","7"
11,"u3 (11C5569)","00:00:00.0010000","6"
12,"u3 (1FF00B6)","00:00:00.0010000","6"
13,"u3 (1F70667)","00:00:00.0010000","5"
14,"barrier (1AF39A7)","00:00:00.0010000","4"
15,"measurement (32906E6)","00:00:00.0030000","3"
