"Operation Index","Operation Name","Latency","Priority"
0,"u3 (30EB030)","00:00:00.0010000","15"
1,"u3 (38431B5)","00:00:00.0010000","17"
2,"cx (3A5BF60)","00:00:00.0020000","16"
3,"barrier (D3BA62)","00:00:00.0010000","14"
4,"cx (3718D74)","00:00:00.0020000","13"
5,"u3 (2FDF917)","00:00:00.0010000","11"
6,"measurement (2EDC1D5)","00:00:00.0030000","10"
7,"measurement (25BD07D)","00:00:00.0030000","8"
8,"if 1 then u3 (13A546A)","00:00:00.0020000","7"
9,"if 1 then u3 (30CF7BB)","00:00:00.0020000","5"
10,"measurement (374B59B)","00:00:00.0030000","3"
