"Operation Index","Operation Name","Latency","Priority"
0,"u3 (3CE1B4)","00:00:00.0010000","40"
1,"barrier (223EF57)","00:00:00.0010000","39"
2,"u3 (3436A13)","00:00:00.0010000","38"
3,"measurement (15EBAB2)","00:00:00.0030000","37"
4,"if 1 then u3 (549043)","00:00:00.0020000","34"
5,"u3 (2F91261)","00:00:00.0010000","32"
6,"measurement (2C1A56C)","00:00:00.0030000","31"
7,"if 1 then u3 (CED0CD)","00:00:00.0020000","28"
8,"if 2 then u3 (3455735)","00:00:00.0020000","26"
9,"if 3 then u3 (17010DD)","00:00:00.0020000","24"
10,"u3 (F097C6)","00:00:00.0010000","22"
11,"measurement (7555F9)","00:00:00.0030000","21"
12,"if 1 then u3 (2005C8)","00:00:00.0020000","18"
13,"if 2 then u3 (120340A)","00:00:00.0020000","16"
14,"if 3 then u3 (221D462)","00:00:00.0020000","14"
15,"if 4 then u3 (3307778)","00:00:00.0020000","12"
16,"if 5 then u3 (B4333D)","00:00:00.0020000","10"
17,"if 6 then u3 (255CD2A)","00:00:00.0020000","8"
18,"if 7 then u3 (1043681)","00:00:00.0020000","6"
19,"u3 (125EA89)","00:00:00.0010000","4"
20,"measurement (2553ED4)","00:00:00.0030000","3"
