"Operation Index","Operation Name","Latency","Priority"
0,"u3 (318409C)","00:00:00.0010000","36"
1,"u3 (3DA4582)","00:00:00.0010000","36"
2,"barrier (2AC7198)","00:00:00.0010000","35"
3,"u3 (FFE60)","00:00:00.0010000","34"
4,"u3 (8FF161)","00:00:00.0010000","34"
5,"cx (10F7C6E)","00:00:00.0020000","33"
6,"u3 (18B5FDE)","00:00:00.0010000","31"
7,"cx (1E65ED4)","00:00:00.0020000","30"
8,"u3 (1195578)","00:00:00.0010000","28"
9,"u3 (1E4013B)","00:00:00.0010000","22"
10,"u3 (1040B16)","00:00:00.0010000","28"
11,"cx (12463CA)","00:00:00.0020000","27"
12,"u3 (2478221)","00:00:00.0010000","25"
13,"cx (83932A)","00:00:00.0020000","24"
14,"u3 (A02C80)","00:00:00.0010000","22"
15,"u3 (1A19083)","00:00:00.0010000","22"
16,"cx (2AE149C)","00:00:00.0020000","21"
17,"u3 (1EB97C)","00:00:00.0010000","19"
18,"cx (114855C)","00:00:00.0020000","18"
19,"u3 (1B8B03D)","00:00:00.0010000","16"
20,"u3 (37E3228)","00:00:00.0010000","10"
21,"u3 (36FC36F)","00:00:00.0010000","22"
22,"cx (2EDDEE9)","00:00:00.0020000","21"
23,"u3 (25CD639)","00:00:00.0010000","19"
24,"cx (1438807)","00:00:00.0020000","18"
25,"u3 (35FC844)","00:00:00.0010000","4"
26,"u3 (25E0A69)","00:00:00.0010000","16"
27,"cx (14E5DB8)","00:00:00.0020000","15"
28,"u3 (3C14B78)","00:00:00.0010000","13"
29,"cx (1CBA73B)","00:00:00.0020000","12"
30,"u3 (28E11B)","00:00:00.0010000","4"
31,"u3 (16FE9F8)","00:00:00.0010000","10"
32,"cx (EF39BB)","00:00:00.0020000","9"
33,"u3 (690795)","00:00:00.0010000","7"
34,"cx (3B1443F)","00:00:00.0020000","6"
35,"u3 (13B663A)","00:00:00.0010000","4"
36,"u3 (3169810)","00:00:00.0010000","4"
37,"measurement (3CB5890)","00:00:00.0030000","3"
