"Operation Index","Operation Name","Latency","Priority"
0,"u3 (F1BB29)","00:00:00.0010000","14"
1,"u3 (7F9478)","00:00:00.0010000","10"
2,"cx (7C3839)","00:00:00.0020000","13"
3,"u3 (5DFA07)","00:00:00.0010000","11"
4,"u3 (34DCA42)","00:00:00.0010000","10"
5,"cx (1BC1C53)","00:00:00.0020000","9"
6,"u3 (39CFEEB)","00:00:00.0010000","7"
7,"u3 (84F643)","00:00:00.0010000","6"
8,"u3 (ACA85C)","00:00:00.0010000","6"
9,"cx (211EB3F)","00:00:00.0020000","5"
10,"measurement (2A1453E)","00:00:00.0030000","3"
11,"measurement (3AB6F30)","00:00:00.0030000","3"
12,"measurement (106E8B8)","00:00:00.0030000","3"
