Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
1.24, 1.24 ipea_3_pi_8, 2.02:33:21.8854398, 00:00:00.0156242, 05:03:20.1868315
1.25, 1.25 iswap, 00:00:00.0191510, 00:00:00.0013158, 00:00:00.0017185
1.27, 1.27 qec, 00:00:00.0249584, 00:00:00.0013922, 00:00:00.0023003
1.28, 1.28 qe_qft_3, 00:00:00.0163513, 00:00:00.0013807, 00:00:00.0014044
1.29, 1.29 qe_qft_4, 00:00:01.4102794, 00:00:00.0016803, 00:00:00.1407972
1.31, 1.31 qft, 00:00:00.0298338, 00:00:00.0012796, 00:00:00.0028010
1.32, 1.32 qpt, 00:00:00.0119401, 00:00:00.0006702, 00:00:00.0010806
1.33, 1.33 rb, 00:00:00.0241385, 00:00:00.0008837, 00:00:00.0022703
1.34, 1.34 teleport, 00:00:00.0128756, 00:00:00.0008180, 00:00:00.0011560
1.35, 1.35 teleportv2, 00:00:00.0129908, 00:00:00.0007403, 00:00:00.0011843
1.36, 1.36 W-state, 00:00:00.0177203, 00:00:00.0009926, 00:00:00.0016152
1.37, 1.37 W3test, 00:00:00.0134076, 00:00:00.0009205, 00:00:00.0011941
