Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.24,2592000.,N/A,2592000.,2592000.,2592000.,2592000.,2592000.,2592000.,2592000.,2592000.
1.25,172800.,N/A,172800.,172800.,172800.,172800.,172800.,172800.,172800.,172800.
1.27,5443200.,N/A,4406400.,4406400.,777600.,4406400.,4406400.,5443200.,4406400.,2851200.
1.28,1900800.,N/A,1900800.,1900800.,864000.,1900800.,1900800.,1900800.,1900800.,864000.
1.29,6307200.,N/A,7344000.,7344000.,2678400.,7344000.,7344000.,6307200.,7344000.,5788800.
1.31,4147200.,N/A,4665600.,4665600.,1555200.,4665600.,4665600.,4147200.,4665600.,3110400.
1.32,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1.33,604800.,N/A,604800.,604800.,604800.,604800.,604800.,604800.,604800.,604800.
1.34,345600.,N/A,345600.,345600.,345600.,345600.,345600.,345600.,345600.,345600.
1.35,345600.,N/A,345600.,345600.,345600.,345600.,345600.,345600.,345600.,345600.
1.36,2332800.,N/A,2332800.,2332800.,777600.,2332800.,2332800.,2332800.,2332800.,777600.
1.37,1296000.,N/A,1296000.,1296000.,259200.,1296000.,1296000.,1296000.,1296000.,259200.
