Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.24,05:34:42.0273321,N/A,05:35:02.9263291,05:35:27.9485315,05:37:33.4423822,05:37:10.4725280,05:37:34.9536920,05:37:52.7605062,05:38:40.2144692,05:39:17.1003720
1.25,00:00:00.0034319,N/A,00:00:00.0012286,00:00:00.0011129,00:00:00.0011922,00:00:00.0010559,00:00:00.0011959,00:00:00.0014198,00:00:00.0010958,00:00:00.0011217
1.27,00:00:00.0073670,N/A,00:00:00.0018376,00:00:00.0018530,00:00:00.0011514,00:00:00.0013218,00:00:00.0013103,00:00:00.0013505,00:00:00.0013048,00:00:00.0013726
1.28,00:00:00.0014572,N/A,00:00:00.0011520,00:00:00.0011586,00:00:00.0011034,00:00:00.0011046,00:00:00.0011470,00:00:00.0011346,00:00:00.0011668,00:00:00.0011609
1.29,00:00:00.1570839,N/A,00:00:00.1534358,00:00:00.1525610,00:00:00.1559421,00:00:00.1618170,00:00:00.1525730,00:00:00.1634764,00:00:00.1529731,00:00:00.1520601
1.31,00:00:00.0036167,N/A,00:00:00.0026403,00:00:00.0026932,00:00:00.0023631,00:00:00.0027117,00:00:00.0025702,00:00:00.0024032,00:00:00.0025779,00:00:00.0025338
1.32,00:00:00.0009526,00:00:00.0007622,00:00:00.0007302,00:00:00.0007981,00:00:00.0007456,00:00:00.0007347,00:00:00.0007310,00:00:00.0007971,00:00:00.0007666,00:00:00.0008428
1.33,00:00:00.0091686,N/A,00:00:00.0010983,00:00:00.0010357,00:00:00.0010221,00:00:00.0010208,00:00:00.0010570,00:00:00.0009810,00:00:00.0009923,00:00:00.0010190
1.34,00:00:00.0011257,N/A,00:00:00.0010467,00:00:00.0009278,00:00:00.0009311,00:00:00.0009340,00:00:00.0009360,00:00:00.0008563,00:00:00.0008227,00:00:00.0008350
1.35,00:00:00.0011919,N/A,00:00:00.0010099,00:00:00.0009556,00:00:00.0009445,00:00:00.0010274,00:00:00.0009368,00:00:00.0008795,00:00:00.0009135,00:00:00.0008633
1.36,00:00:00.0017528,N/A,00:00:00.0014681,00:00:00.0013615,00:00:00.0014027,00:00:00.0014909,00:00:00.0014034,00:00:00.0012948,00:00:00.0012933,00:00:00.0012506
1.37,00:00:00.0011701,N/A,00:00:00.0009311,00:00:00.0009054,00:00:00.0009258,00:00:00.0008974,00:00:00.0009059,00:00:00.0011289,00:00:00.0009482,00:00:00.0009199
