"Operation Index","Operation Name","Latency","Priority"
0,"u3 (1B0118C)","00:00:00.0010000","12"
1,"u3 (3309DED)","00:00:00.0010000","11"
2,"u3 (B58D5A)","00:00:00.0010000","10"
3,"u3 (261F82A)","00:00:00.0010000","10"
4,"cx (171B980)","00:00:00.0020000","9"
5,"u3 (FF8584)","00:00:00.0010000","7"
6,"u3 (FBB1A7)","00:00:00.0010000","7"
7,"cx (D93EE2)","00:00:00.0020000","6"
8,"u3 (3A335F6)","00:00:00.0010000","4"
9,"measurement (BCE5AD)","00:00:00.0030000","3"
10,"measurement (2A41316)","00:00:00.0030000","3"
