"Operation Index","Operation Name","Latency","Priority"
0,"u3 (14860C3)","00:00:00.0010000","22"
1,"barrier (38B66DB)","00:00:00.0010000","21"
2,"cx (3E69DB5)","00:00:00.0020000","20"
3,"cx (31B8B63)","00:00:00.0020000","18"
4,"cx (3F7E67C)","00:00:00.0020000","16"
5,"cx (3B71A63)","00:00:00.0020000","14"
6,"measurement (16FED80)","00:00:00.0030000","12"
7,"if 1 then u3 (EF5984)","00:00:00.0020000","9"
8,"if 2 then u3 (6A25A8)","00:00:00.0020000","7"
9,"if 3 then u3 (3BB52ED)","00:00:00.0020000","5"
10,"measurement (195EA5D)","00:00:00.0030000","3"
