"Operation Index","Operation Name","Latency","Priority"
0,"u3 (14B7DF8)","00:00:00.0010000","24"
1,"u3 (3A76DBD)","00:00:00.0010000","23"
2,"cx (E2DBA9)","00:00:00.0020000","22"
3,"u3 (3F9B8F5)","00:00:00.0010000","20"
4,"cx (3C780A2)","00:00:00.0020000","19"
5,"u3 (20385BA)","00:00:00.0010000","13"
6,"u3 (21FB38C)","00:00:00.0010000","12"
7,"u3 (31D4FF3)","00:00:00.0010000","17"
8,"cx (7CF8F)","00:00:00.0020000","16"
9,"u3 (464C09)","00:00:00.0010000","14"
10,"cx (278AC52)","00:00:00.0020000","13"
11,"u3 (23E0EE3)","00:00:00.0010000","11"
12,"u3 (2E85FD)","00:00:00.0010000","11"
13,"cx (1A2B5E9)","00:00:00.0020000","10"
14,"u3 (2B86539)","00:00:00.0010000","8"
15,"cx (7B8F05)","00:00:00.0020000","7"
16,"u3 (58072D)","00:00:00.0010000","5"
17,"u3 (318409C)","00:00:00.0010000","4"
18,"measurement (3DA4582)","00:00:00.0030000","3"
