"Operation Index","Operation Name","Latency","Priority"
0,"u3 (390330D)","00:00:00.0010000","18"
1,"barrier (11CB78)","00:00:00.0010000","17"
2,"u3 (A0273E)","00:00:00.0010000","16"
3,"cx (1A1612E)","00:00:00.0020000","15"
4,"u3 (2AC6AA3)","00:00:00.0010000","13"
5,"barrier (FBFBC)","00:00:00.0010000","12"
6,"u3 (8DBDA4)","00:00:00.0010000","11"
7,"u3 (FBAACB)","00:00:00.0010000","11"
8,"cx (D9012B)","00:00:00.0020000","10"
9,"u3 (3A10A83)","00:00:00.0010000","8"
10,"barrier (A95E9D)","00:00:00.0010000","7"
11,"u3 (1F4538B)","00:00:00.0010000","6"
12,"u3 (196EFE4)","00:00:00.0010000","6"
13,"u3 (24E6F0B)","00:00:00.0010000","5"
14,"barrier (C1E768)","00:00:00.0010000","4"
15,"measurement (2D122AC)","00:00:00.0030000","3"
