"Operation Index","Operation Name","Latency","Priority"
0,"u3 (17E5BD1)","00:00:00.0010000","15"
1,"u3 (1713A59)","00:00:00.0010000","17"
2,"cx (FB0D27)","00:00:00.0020000","16"
3,"barrier (D37663)","00:00:00.0010000","14"
4,"cx (36F297E)","00:00:00.0020000","13"
5,"u3 (2E87571)","00:00:00.0010000","11"
6,"measurement (22C20FD)","00:00:00.0030000","10"
7,"measurement (38D28EC)","00:00:00.0030000","8"
8,"if 1 then u3 (3F6704D)","00:00:00.0020000","7"
9,"if 1 then u3 (3A9F2BB)","00:00:00.0020000","5"
10,"measurement (F98896)","00:00:00.0030000","3"
