"Operation Index","Operation Name","Latency","Priority"
0,"u3 (2F4377F)","00:00:00.0010000","17"
1,"u3 (295F377)","00:00:00.0010000","19"
2,"cx (3458F30)","00:00:00.0020000","18"
3,"barrier (17208B3)","00:00:00.0010000","16"
4,"cx (1024E52)","00:00:00.0020000","15"
5,"u3 (114C0E4)","00:00:00.0010000","13"
6,"measurement (1BAC80C)","00:00:00.0030000","12"
7,"measurement (3910872)","00:00:00.0030000","12"
8,"if 1 then u3 (194C07)","00:00:00.0020000","9"
9,"if 2 then u3 (E3AC44)","00:00:00.0020000","7"
10,"if 3 then u3 (10E6B)","00:00:00.0020000","5"
11,"measurement (981C3)","00:00:00.0030000","3"
