"Operation Index","Operation Name","Latency","Priority"
0,"u3 (37AC597)","00:00:00.0010000","14"
1,"u3 (350F251)","00:00:00.0010000","10"
2,"cx (1D884E1)","00:00:00.0020000","13"
3,"u3 (9CABEF)","00:00:00.0010000","11"
4,"u3 (1820B6C)","00:00:00.0010000","10"
5,"cx (19266D1)","00:00:00.0020000","9"
6,"u3 (2259D60)","00:00:00.0010000","7"
7,"u3 (3528860)","00:00:00.0010000","6"
8,"u3 (1E6CB63)","00:00:00.0010000","6"
9,"cx (11D2683)","00:00:00.0020000","5"
10,"measurement (2065AA0)","00:00:00.0030000","3"
11,"measurement (2392FA3)","00:00:00.0030000","3"
12,"measurement (2ACBD)","00:00:00.0030000","3"
