Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.24,0,N/A,0,0,0,0,0,0,0,0
1.25,0,N/A,0,0,0,0,0,0,0,0
1.26,18,N/A,12,12,0,12,12,18,12,8
1.27,18,N/A,14,14,0,14,14,18,14,8
1.28,4,N/A,4,4,0,4,4,4,4,0
1.29,14,N/A,18,18,0,18,18,14,18,12
1.30,6,N/A,24,24,0,24,24,6,24,0
1.31,10,N/A,12,12,0,12,12,10,12,6
1.32,0,0,0,0,0,0,0,0,0,0
1.33,0,N/A,0,0,0,0,0,0,0,0
1.34,0,N/A,0,0,0,0,0,0,0,0
1.35,0,N/A,0,0,0,0,0,0,0,0
1.36,6,N/A,6,6,0,6,6,6,6,0
1.37,4,N/A,4,4,0,4,4,4,4,0
