Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,00:00:00.0557200,N/A,00:00:00.0048474,00:00:00.0039639,00:00:00.0051307,00:00:00.0048783,00:00:00.0039991,00:00:00.0039772,00:00:00.0065045,00:00:00.0046116
1.1,00:00:00.0052379,N/A,00:00:00.0044637,00:00:00.0040826,00:00:00.0045881,00:00:00.0055520,00:00:00.0042268,00:00:00.0045235,00:00:00.0048030,00:00:00.0049435
1.2,00:00:00.0057991,N/A,00:00:00.0041143,00:00:00.0039591,00:00:00.0052266,00:00:00.0051616,00:00:00.0040092,00:00:00.0042237,00:00:00.0274864,00:00:00.0050037
1.3,00:00:00.0048709,N/A,00:00:00.0051416,00:00:00.0041747,00:00:00.0068526,00:00:00.0040830,00:00:00.0045976,00:00:00.0046468,00:00:00.0036103,00:00:00.0043838
1.4,00:00:00.0073465,N/A,00:00:00.0042913,00:00:00.0037355,00:00:00.0055949,00:00:00.0040230,00:00:00.0042420,00:00:00.0041351,00:00:00.0039871,00:00:00.0037489
1.5,00:00:00.0051352,N/A,00:00:00.0054039,00:00:00.0041129,00:00:00.0037515,00:00:00.0047345,00:00:00.0041262,00:00:00.0036598,00:00:00.0041275,00:00:00.0044047
1.6,00:00:00.0170818,N/A,00:00:00.0049653,00:00:00.0049758,00:00:00.0039944,00:00:00.0052480,00:00:00.0037588,00:00:00.0038595,00:00:00.0052213,00:00:00.0043927
1.7,00:00:00.0044434,N/A,00:00:00.0043507,00:00:00.0044983,00:00:00.0044354,00:00:00.0047791,00:00:00.0043744,00:00:00.0041101,00:00:00.0036180,00:00:00.0047193
1.8,00:00:00.0044922,N/A,00:00:00.0050745,00:00:00.0049566,00:00:00.0051127,00:00:00.0046649,00:00:00.0037271,00:00:00.0038696,00:00:00.0044129,00:00:00.0048671
1.9,00:00:00.0148529,N/A,N/A,N/A,00:00:00.0046512,N/A,N/A,00:00:00.0050996,N/A,00:00:00.0047929
1.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
