Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
1.0, 1.0 Quantum Teleportation, 00:00:00.1665071, 00:00:00.0320232, 00:00:00.0134454
1.1, 1.1 Superdense coding of 0, 00:00:00.0500821, 00:00:00.0043068, 00:00:00.0045758
1.2, 1.2 Superdense coding of 1, 00:00:00.0905208, 00:00:00.0036849, 00:00:00.0086831
1.3, 1.3 Superdense coding of 2, 00:00:00.0500006, 00:00:00.0046750, 00:00:00.0045324
1.4, 1.4 Superdense coding of 3, 00:00:00.0541731, 00:00:00.0034475, 00:00:00.0050723
1.5, 1.5 Deutsch Algorithm Constant True, 00:00:00.0452603, 00:00:00.0027829, 00:00:00.0042476
1.6, 1.6 Deutsch Algorithm Constant False, 00:00:00.0573733, 00:00:00.0024193, 00:00:00.0054953
1.7, 1.7 Deutsch Algorithm Identity, 00:00:00.0401140, 00:00:00.0031610, 00:00:00.0036952
1.8, 1.8 Deutsch Algorithm Inversion, 00:00:00.0861107, 00:00:00.0234639, 00:00:00.0062642
1.9, 1.9 Deutsch-Josza with 3 qubits, 00:00:00.0694307, 00:00:00.0057859, 00:00:00.0063632
1.10, 1.10 Bernstein Vazrani for value 3 with 3 qubits, 00:00:00.0071701, 00:00:00.0054126, 00:00:00.0001754
1.11, 1.11 Simons Algorithm for 11, 00:00:00.0047159, 00:00:00.0033211, 00:00:00.0001392
1.12, 1.12 3 Qubit Quantum Fourier Transform, 00:00:00.0057839, 00:00:00.0044305, 00:00:00.0001351
1.13, 1.13 4 Qubit Quantum Fourier Transform, 00:00:00.0060835, 00:00:00.0045706, 00:00:00.0001511
1.14, 1.14 5 Qubit Quantum Fourier Transform, 00:00:00.0071558, 00:00:00.0059418, 00:00:00.0001212
1.15, 1.15 Shors Quantum Kernel, 00:00:01.1511165, 00:00:01.1489855, 00:00:00.0002124
1.16, 1.16 Gover's search with 9 items, 00:00:00.0090396, 00:00:00.0074418, 00:00:00.0001592
1.17, 1.17 Quantum Approximate Optimization MaxCut, 00:00:00.0155608, 00:00:00.0141913, 00:00:00.0001364
1.18, 1.18 011_3_qubit_grover_50_, 00:00:00.0104592, 00:00:00.0094832, 00:00:00.0000967
1.19, 1.19 adder, 00:00:00.0091199, 00:00:00.0080856, 00:00:00.0001032
1.20, 1.20 bernstein-vazirani, 00:00:00.0047139, 00:00:00.0037692, 00:00:00.0000943
1.21, 1.21 bigadder, 00:00:00.0140700, 00:00:00.0130954, 00:00:00.0000973
1.22, 1.22 Deutsch_Algorithm, 00:00:00.0036389, 00:00:00.0026928, 00:00:00.0000944
1.23, 1.23 inverseqft1, 00:00:00.0057568, 00:00:00.0045028, 00:00:00.0001252
1.24, 1.24 inverseqft2, 00:00:00.0045383, 00:00:00.0036303, 00:00:00.0000906
1.25, 1.25 ipea_3_pi_8, 00:00:00.0074686, 00:00:00.0064450, 00:00:00.0001021
1.26, 1.26 iswap, 00:00:00.0042846, 00:00:00.0031693, 00:00:00.0001113
1.27, 1.27 pea_3_pi_8, 00:00:00.0069448, 00:00:00.0060541, 00:00:00.0000889
1.28, 1.28 qec, 00:00:00.0032612, 00:00:00.0023804, 00:00:00.0000880
1.29, 1.29 qe_qft_3, 00:00:00.0056098, 00:00:00.0046003, 00:00:00.0001008
1.30, 1.30 qe_qft_4, 00:00:00.0058155, 00:00:00.0050259, 00:00:00.0000789
1.31, 1.31 qe_qft_5, 00:00:00.0073298, 00:00:00.0063838, 00:00:00.0000944
1.32, 1.32 qft, 00:00:00.0046157, 00:00:00.0037318, 00:00:00.0000882
1.33, 1.33 qpt, 00:00:00.0027201, 00:00:00.0018921, 00:00:00.0000827
1.34, 1.34 rb, 00:00:00.0051861, 00:00:00.0044232, 00:00:00.0000762
1.35, 1.35 teleport, 00:00:00.0040739, 00:00:00.0031450, 00:00:00.0000927
1.36, 1.36 teleportv2, 00:00:00.0041568, 00:00:00.0032959, 00:00:00.0000860
1.37, 1.37 W-state, 00:00:00.0041317, 00:00:00.0032734, 00:00:00.0000858
1.38, 1.38 W3test, 00:00:00.0041631, 00:00:00.0032463, 00:00:00.0000915
