Circuit Id, Estimated Time
1.0, 00:00:00.0040008
1.1, 00:00:00.0020007
1.2, 00:00:00.0020007
1.3, 00:00:00.0020007
1.4, 00:00:00.0020008
1.5, 00:00:00.0010006
1.6, 00:00:00.0010004
1.7, 00:00:00.0010006
1.8, 00:00:00.0010005
1.9, 00:00:00.0030018
1.10, 00:00:00.0030013
1.11, 00:00:00.0040012
1.12, 00:00:00.0000024
1.13, 00:00:00.0000046
1.14, 00:00:00.0000075
1.15, 00:00:00.0000162
1.16, 00:00:00.0050055
1.17, 00:00:00.0030159
1.18, 00:00:00.0050204
1.19, 00:00:00.0020038
1.20, 00:00:00.0090407
