Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,00:00:00.0000006,N/A,00:00:00.0000006,00:00:00.0000006,00:00:00,00:00:00.0000006,00:00:00.0000006,00:00:00.0000006,00:00:00.0000006,00:00:00
1.1,-00:00:00.0010000,N/A,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000
1.2,-00:00:00.0010000,N/A,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000
1.3,-00:00:00.0010000,N/A,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000
1.4,-00:00:00.0010000,N/A,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000,-00:00:00.0010000
1.5,-00:00:00.0000001,N/A,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001
1.6,00:00:00,N/A,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
1.7,-00:00:00.0000001,N/A,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001,-00:00:00.0000001
1.8,00:00:00,N/A,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
1.9,-00:00:00.0019994,N/A,-00:00:00.0019988,-00:00:00.0019988,-00:00:00.0020006,-00:00:00.0019988,-00:00:00.0019988,-00:00:00.0019994,-00:00:00.0019988,-00:00:00.0019994
1.10,-00:00:00.0019997,N/A,-00:00:00.0019997,-00:00:00.0019997,-00:00:00.0020003,-00:00:00.0019997,-00:00:00.0019997,-00:00:00.0019997,-00:00:00.0019997,-00:00:00.0020003
1.11,-00:00:00.0029985,N/A,-00:00:00.0029973,-00:00:00.0029973,-00:00:00.0030003,-00:00:00.0029973,-00:00:00.0029973,-00:00:00.0029985,-00:00:00.0029973,-00:00:00.0029991
1.12,00:00:00.0000007,N/A,00:00:00.0000007,00:00:00.0000007,-00:00:00.0000005,00:00:00.0000007,00:00:00.0000007,00:00:00.0000007,00:00:00.0000007,-00:00:00.0000005
1.13,00:00:00.0000009,N/A,00:00:00.0000021,00:00:00.0000021,-00:00:00.0000015,00:00:00.0000021,00:00:00.0000021,00:00:00.0000009,00:00:00.0000021,-00:00:00.0000003
1.14,00:00:00.0000016,N/A,00:00:00.0000022,00:00:00.0000022,-00:00:00.0000032,00:00:00.0000022,00:00:00.0000022,00:00:00.0000016,00:00:00.0000022,-00:00:00.0000002
1.15,00:00:00.0000021,N/A,00:00:00.0000021,00:00:00.0000021,-00:00:00.0000021,00:00:00.0000021,00:00:00.0000021,00:00:00.0000021,00:00:00.0000021,-00:00:00.0000021
1.16,-00:00:00.0039985,N/A,-00:00:00.0039949,-00:00:00.0039949,-00:00:00.0040009,-00:00:00.0039949,-00:00:00.0039949,-00:00:00.0039985,-00:00:00.0039949,-00:00:00.0040009
1.17,-00:00:00.0019900,N/A,-00:00:00.0019900,-00:00:00.0019900,-00:00:00.0020038,-00:00:00.0019900,-00:00:00.0019900,-00:00:00.0019900,-00:00:00.0019900,-00:00:00.0020038
1.18,N/A,N/A,N/A,N/A,-00:00:00.0040030,N/A,N/A,N/A,N/A,N/A
1.19,-00:00:00.0009995,N/A,-00:00:00.0009995,-00:00:00.0009995,-00:00:00.0010007,-00:00:00.0009995,-00:00:00.0009995,-00:00:00.0009995,-00:00:00.0009995,-00:00:00.0010007
