Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,2,N/A,2,2,0,2,2,2,2,0
1.1,0,N/A,0,0,0,0,0,0,0,0
1.2,0,N/A,0,0,0,0,0,0,0,0
1.3,0,N/A,0,0,0,0,0,0,0,0
1.4,0,N/A,0,0,0,0,0,0,0,0
1.5,0,N/A,0,0,0,0,0,0,0,0
1.6,0,N/A,0,0,0,0,0,0,0,0
1.7,0,N/A,0,0,0,0,0,0,0,0
1.8,0,N/A,0,0,0,0,0,0,0,0
1.9,6,N/A,6,6,0,6,6,6,6,4
1.10,2,N/A,2,2,0,2,2,2,2,0
1.11,8,N/A,10,10,0,10,10,8,10,4
1.12,4,N/A,4,4,0,4,4,4,4,0
1.13,10,N/A,12,12,0,12,12,10,12,4
1.14,16,N/A,18,18,0,18,18,16,18,10
1.15,14,N/A,14,14,0,14,14,14,14,0
1.16,8,N/A,20,20,0,20,20,8,20,0
1.17,46,N/A,46,46,0,46,46,46,46,0
1.18,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
1.19,4,N/A,4,4,0,4,4,4,4,0
