"Operation Index","Operation Name","Latency","Priority"
0,"u3 (1325B9D)","00:00:00.0010000","30"
1,"u3 (2C53889)","00:00:00.0010000","29"
2,"u3 (EEFCD1)","00:00:00.0010000","29"
3,"u3 (66E360)","00:00:00.0010000","26"
4,"u3 (39DFE66)","00:00:00.0010000","29"
5,"cx (8DF19C)","00:00:00.0020000","28"
6,"u3 (FD7E84)","00:00:00.0010000","26"
7,"cx (E972A5)","00:00:00.0020000","25"
8,"u3 (3507D2)","00:00:00.0010000","23"
9,"cx (1DD4662)","00:00:00.0020000","22"
10,"u3 (C77978)","00:00:00.0010000","20"
11,"cx (303453C)","00:00:00.0020000","19"
12,"u3 (31D6F1F)","00:00:00.0010000","2"
13,"u3 (8E81A)","00:00:00.0010000","18"
14,"u3 (5028EE)","00:00:00.0010000","1"
15,"cx (2D17065)","00:00:00.0020000","17"
16,"u3 (15CF38E)","00:00:00.0010000","15"
17,"cx (449004)","00:00:00.0020000","14"
18,"u3 (2691027)","00:00:00.0010000","12"
19,"u3 (1B19160)","00:00:00.0010000","11"
20,"u3 (33E1C60)","00:00:00.0010000","11"
21,"u3 (12EFF60)","00:00:00.0010000","10"
22,"u3 (2A6FA61)","00:00:00.0010000","10"
23,"u3 (3DECD6C)","00:00:00.0010000","9"
24,"u3 (2D538D3)","00:00:00.0010000","9"
25,"cx (17EFF6D)","00:00:00.0020000","8"
26,"u3 (176FADD)","00:00:00.0010000","6"
27,"u3 (12ED1CB)","00:00:00.0010000","5"
28,"u3 (2A56028)","00:00:00.0010000","5"
29,"u3 (3D0616D)","00:00:00.0010000","4"
30,"u3 (2536CDC)","00:00:00.0010000","4"
31,"measurement (EED3BC)","00:00:00.0030000","3"
32,"measurement (65719F)","00:00:00.0030000","3"
