"Operation Index","Operation Name","Latency","Priority"
0,"u3 (1FE949D)","00:00:00.0010000","40"
1,"barrier (1F33985)","00:00:00.0010000","39"
2,"u3 (18D05AD)","00:00:00.0010000","38"
3,"measurement (1F53316)","00:00:00.0030000","37"
4,"if 1 then u3 (19ECBC9)","00:00:00.0020000","34"
5,"u3 (2952A18)","00:00:00.0010000","32"
6,"measurement (33E7ADA)","00:00:00.0030000","31"
7,"if 1 then u3 (13251B2)","00:00:00.0020000","28"
8,"if 2 then u3 (2C4DF48)","00:00:00.0020000","26"
9,"if 3 then u3 (EBD98D)","00:00:00.0020000","24"
10,"u3 (4AA5FA)","00:00:00.0010000","22"
11,"measurement (29FD5D1)","00:00:00.0030000","21"
12,"if 1 then u3 (39E8459)","00:00:00.0020000","18"
13,"if 2 then u3 (92A724)","00:00:00.0020000","16"
14,"if 3 then u3 (127E04C)","00:00:00.0020000","14"
15,"if 4 then u3 (266E2B1)","00:00:00.0020000","12"
16,"if 5 then u3 (19DF83C)","00:00:00.0020000","10"
17,"if 6 then u3 (28DBA1E)","00:00:00.0020000","8"
18,"if 7 then u3 (2FB8B10)","00:00:00.0020000","6"
19,"u3 (2D7E393)","00:00:00.0010000","4"
20,"measurement (1970031)","00:00:00.0030000","3"
