"Operation Index","Operation Name","Latency","Priority"
0,"u3 (3526A80)","00:00:00.0010000","12"
1,"u3 (1E5BE83)","00:00:00.0010000","11"
2,"u3 (113B2A2)","00:00:00.0010000","10"
3,"u3 (1B147B4)","00:00:00.0010000","10"
4,"cx (33B855C)","00:00:00.0020000","9"
5,"u3 (117B042)","00:00:00.0010000","7"
6,"u3 (1D53257)","00:00:00.0010000","7"
7,"cx (7EC514)","00:00:00.0020000","6"
8,"u3 (74EDBB)","00:00:00.0010000","4"
9,"measurement (1C5B93)","00:00:00.0030000","3"
10,"measurement (FF382E)","00:00:00.0030000","3"
