"Operation Index","Operation Name","Latency","Priority"
0,"u3 (1216535)","00:00:00.0010000","22"
1,"barrier (22C8EDF)","00:00:00.0010000","21"
2,"cx (39105DB)","00:00:00.0020000","20"
3,"cx (1934BB)","00:00:00.0020000","18"
4,"cx (E2DA97)","00:00:00.0020000","16"
5,"cx (3F9AF4F)","00:00:00.0020000","14"
6,"measurement (3C729CE)","00:00:00.0030000","12"
7,"if 1 then u3 (2007844)","00:00:00.0020000","9"
8,"if 2 then u3 (2043A6A)","00:00:00.0020000","7"
9,"if 3 then u3 (2260DC2)","00:00:00.0020000","5"
10,"measurement (3567BD3)","00:00:00.0030000","3"
