"Operation Index","Operation Name","Latency","Priority"
0,"u3 (2FA7C09)","00:00:00.0010000","36"
1,"u3 (2CE5C58)","00:00:00.0010000","36"
2,"barrier (1413F18)","00:00:00.0010000","35"
3,"u3 (34B37DB)","00:00:00.0010000","34"
4,"u3 (1A4F6BB)","00:00:00.0010000","34"
5,"cx (2CCAC98)","00:00:00.0020000","33"
6,"u3 (132115B)","00:00:00.0010000","31"
7,"cx (2C29C35)","00:00:00.0020000","30"
8,"u3 (D77DDF)","00:00:00.0010000","28"
9,"u3 (3936CDA)","00:00:00.0010000","22"
10,"u3 (2ED3B0)","00:00:00.0010000","28"
11,"cx (1A57130)","00:00:00.0020000","27"
12,"u3 (2D0FAB5)","00:00:00.0010000","25"
13,"cx (158D05E)","00:00:00.0020000","24"
14,"u3 (1F5356)","00:00:00.0010000","22"
15,"u3 (119EE0D)","00:00:00.0010000","22"
16,"cx (1E95E7D)","00:00:00.0020000","21"
17,"u3 (1345265)","00:00:00.0010000","19"
18,"cx (2D6E58F)","00:00:00.0020000","18"
19,"u3 (18E120D)","00:00:00.0010000","16"
20,"u3 (1FEA276)","00:00:00.0010000","10"
21,"u3 (1F3B62D)","00:00:00.0010000","22"
22,"cx (191679A)","00:00:00.0020000","21"
23,"u3 (21CA46E)","00:00:00.0010000","19"
24,"cx (301C7E2)","00:00:00.0020000","18"
25,"u3 (31006F7)","00:00:00.0010000","4"
26,"u3 (3903EB7)","00:00:00.0010000","16"
27,"cx (123471)","00:00:00.0020000","15"
28,"u3 (A3D800)","00:00:00.0010000","13"
29,"cx (1C29804)","00:00:00.0020000","12"
30,"u3 (3D75826)","00:00:00.0010000","4"
31,"u3 (2921957)","00:00:00.0010000","10"
32,"cx (322E410)","00:00:00.0020000","9"
33,"u3 (3A0492)","00:00:00.0010000","7"
34,"cx (20A2926)","00:00:00.0020000","6"
35,"u3 (25B725E)","00:00:00.0010000","4"
36,"u3 (1370552)","00:00:00.0010000","4"
37,"measurement (2EF2FE2)","00:00:00.0030000","3"
