"Operation Index","Operation Name","Latency","Priority"
0,"u3 (3CFF2F)","00:00:00.0010000","18"
1,"barrier (224F8AC)","00:00:00.0010000","17"
2,"u3 (34CBE14)","00:00:00.0010000","16"
3,"cx (1B2AEB6)","00:00:00.0020000","15"
4,"u3 (348246D)","00:00:00.0010000","13"
5,"barrier (18947D9)","00:00:00.0010000","12"
6,"u3 (1D386A3)","00:00:00.0010000","11"
7,"u3 (6FBBBC)","00:00:00.0010000","11"
8,"cx (3ED999D)","00:00:00.0020000","10"
9,"u3 (35A6687)","00:00:00.0010000","8"
10,"barrier (22D9AC3)","00:00:00.0010000","7"
11,"u3 (39A70E3)","00:00:00.0010000","6"
12,"u3 (6DF7FF)","00:00:00.0010000","6"
13,"u3 (3DDB7F7)","00:00:00.0010000","5"
14,"barrier (2CB77B6)","00:00:00.0010000","4"
15,"measurement (127356C)","00:00:00.0030000","3"
