"Operation Index","Operation Name","Latency","Priority"
0,"u3 (A18A47)","00:00:00.0010000","15"
1,"u3 (1ADDC82)","00:00:00.0010000","17"
2,"cx (31CC099)","00:00:00.0020000","16"
3,"barrier (2C563)","00:00:00.0010000","14"
4,"cx (18F083)","00:00:00.0020000","13"
5,"u3 (E074A1)","00:00:00.0010000","11"
6,"measurement (3E419AE)","00:00:00.0030000","10"
7,"measurement (304E723)","00:00:00.0030000","8"
8,"if 1 then u3 (32C2042)","00:00:00.0020000","7"
9,"if 1 then u3 (8D2252)","00:00:00.0020000","5"
10,"measurement (F634E5)","00:00:00.0030000","3"
