"Operation Index","Operation Name","Latency","Priority"
0,"u3 (1E6BCC2)","00:00:00.0010000","17"
1,"u3 (11CA2D5)","00:00:00.0010000","19"
2,"cx (201B97F)","00:00:00.0020000","18"
3,"barrier (20F8579)","00:00:00.0010000","16"
4,"cx (28BB144)","00:00:00.0020000","15"
5,"u3 (2E93B6A)","00:00:00.0010000","13"
6,"measurement (23316BA)","00:00:00.0030000","12"
7,"measurement (3CBCC8F)","00:00:00.0030000","12"
8,"if 1 then u3 (22A3108)","00:00:00.0020000","9"
9,"if 2 then u3 (37BB950)","00:00:00.0020000","7"
10,"if 3 then u3 (35983D7)","00:00:00.0020000","5"
11,"measurement (225A297)","00:00:00.0030000","3"
