"Operation Index","Operation Name","Latency","Priority"
0,"u3 (75B679)","00:00:00.0010000","14"
1,"u3 (236A47)","00:00:00.0010000","10"
2,"cx (13EBC7F)","00:00:00.0020000","13"
3,"u3 (334A07C)","00:00:00.0010000","11"
4,"u3 (D9A45D)","00:00:00.0010000","10"
5,"cx (3A6C74D)","00:00:00.0020000","9"
6,"u3 (DD01BC)","00:00:00.0010000","7"
7,"u3 (3C50FA4)","00:00:00.0010000","6"
8,"u3 (1ED8CC4)","00:00:00.0010000","6"
9,"cx (159F2E6)","00:00:00.0020000","5"
10,"measurement (298A1C)","00:00:00.0030000","3"
11,"measurement (175DAFD)","00:00:00.0030000","3"
12,"measurement (124B2EC)","00:00:00.0030000","3"
