Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
1.0, 1.0 Quantum Teleportation, 00:00:00.1479587, 00:00:00.0480414, 00:00:00.0109255
1.1, 1.1 Superdense coding of 0, 00:01:03.6528864, 00:01:03.1980846, 00:00:00.0503193
1.2, 1.2 Superdense coding of 1, 00:01:01.4358718, 00:01:01.0860328, 00:00:00.0386861
1.3, 1.3 Superdense coding of 2, 00:01:02.6380974, 00:01:02.2934517, 00:00:00.0380770
1.4, 1.4 Superdense coding of 3, 00:01:02.6485703, 00:01:02.5946775, 00:00:00.0058677
1.5, 1.5 Deutsch Algorithm Constant True, 00:01:01.2078885, 00:01:00.8144486, 00:00:00.0419125
1.6, 1.6 Deutsch Algorithm Constant False, 00:01:04.8060136, 00:01:04.4389972, 00:00:00.0405856
1.7, 1.7 Deutsch Algorithm Identity, 00:01:00.9580226, 00:01:00.4241596, 00:00:00.0591145
1.8, 1.8 Deutsch Algorithm Inversion, 00:01:00.8943962, 00:01:00.5424984, 00:00:00.0389420
1.9, 1.9 Deutsch-Josza with 3 qubits, 00:00:00.3629232, 00:00:00.3011810, 00:00:00.0067296
1.10, 1.10 Bernstein Vazrani for value 3 with 3 qubits, 00:00:00.0559711, 00:00:00.0085417, 00:00:00.0052051
1.11, 1.11 Simons Algorithm for 11, 00:00:00.0521373, 00:00:00.0056058, 00:00:00.0051111
1.12, 1.12 3 Qubit Quantum Fourier Transform, 00:00:09.4626894, 00:00:09.3359207, 00:00:00.0139274
1.13, 1.13 4 Qubit Quantum Fourier Transform, 00:00:00.1155690, 00:00:00.0063995, 00:00:00.0120947
1.14, 1.14 5 Qubit Quantum Fourier Transform, 00:00:00.1245687, 00:00:00.0067486, 00:00:00.0130248
1.15, 1.15 Gover's search with 9 items, 01:01:36.6581346, 00:00:08.4718130, 00:06:49.7982748
1.16, 1.16 Quantum Approximate Optimization MaxCut, 00:00:09.1694539, 00:00:08.9962059, 00:00:00.0190347
1.17, 1.17 011_3_qubit_grover_50_, 01:41:57.0113240, 00:00:08.8807579, 00:11:18.6809750
1.18, 1.18 adder, 00:00:00.0153622, 00:00:00.0102960, 00:00:00.0005044
1.19, 1.19 bernstein-vazirani, 00:00:08.5939154, 00:00:08.5000573, 00:00:00.0102393
1.20, 1.20 bigadder, 00:00:00.0250321, 00:00:00.0175383, 00:00:00.0007485
1.21, 1.21 Deutsch_Algorithm, 00:01:02.1077662, 00:01:01.6097162, 00:00:00.0551243
1.22, 1.22 inverseqft1, 00:01:04.9724417, 00:01:04.5139443, 00:00:00.0507644
1.23, 1.23 inverseqft2, 00:01:02.3658703, 00:01:02.0035637, 00:00:00.0400529
1.24, 1.24 ipea_3_pi_8, 2.05:47:14.0029237, 00:00:38.1516899, 05:58:30.6499348
1.25, 1.25 iswap, 00:00:09.6757803, 00:00:09.4980305, 00:00:00.0195274
1.26, 1.26 pea_3_pi_8, 7.18:33:28.4946129, 00:00:00.1240269, 20:43:43.1469704
1.27, 1.27 qec, 00:00:00.2336932, 00:00:00.0527744, 00:00:00.0199695
1.28, 1.28 qe_qft_3, 00:01:02.5178846, 00:01:02.0441833, 00:00:00.0524610
1.29, 1.29 qe_qft_4, 00:01:04.4940731, 00:01:02.9591575, 00:00:00.1704161
1.30, 1.30 qe_qft_5, 00:04:34.4438934, 00:01:02.8495544, 00:00:23.5102664
1.31, 1.31 qft, 00:00:00.0696514, 00:00:00.0077093, 00:00:00.0068321
1.32, 1.32 qpt, 00:08:18.1769763, 00:08:17.5002009, 00:00:00.0749628
1.33, 1.33 rb, 00:07:14.7766160, 00:07:14.2814890, 00:00:00.0547798
1.34, 1.34 teleport, 00:07:16.0257796, 00:07:15.5195392, 00:00:00.0560342
1.35, 1.35 teleportv2, 00:07:16.9615513, 00:07:16.2531452, 00:00:00.0784806
1.36, 1.36 W-state, 00:01:02.9671731, 00:01:02.8984553, 00:00:00.0074084
1.37, 1.37 W3test, 00:01:02.8209517, 00:01:02.4667750, 00:00:00.0391720
