Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,London,Ourense,Rome,Vigo,Yorktown
1.0,8,N/A,8,8,8,8,8,8,2
1.1,2,N/A,2,2,2,2,2,2,2
1.2,2,N/A,2,2,2,2,2,2,2
1.3,2,N/A,2,2,2,2,2,2,2
1.4,2,N/A,2,2,2,2,2,2,2
1.5,0,N/A,0,0,0,0,0,0,0
1.6,0,N/A,0,0,0,0,0,0,0
1.7,1,N/A,1,1,1,1,1,1,1
1.8,0,N/A,0,0,0,0,0,0,0
1.9,21,N/A,21,21,21,21,21,21,15
1.10,8,N/A,8,8,8,8,8,8,2
1.11,28,N/A,34,34,34,34,28,34,16
1.12,18,N/A,18,18,18,18,18,18,6
1.13,42,N/A,48,48,48,48,42,48,24
1.14,68,N/A,74,74,74,74,68,74,50
1.15,75,N/A,75,75,75,75,75,75,33
1.16,40,N/A,76,76,76,76,40,76,16
1.17,174,N/A,174,174,174,174,174,174,36
1.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.19,19,N/A,19,19,19,19,19,19,7
1.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.21,1,N/A,1,1,1,1,1,1,1
1.22,6,N/A,6,6,6,6,6,6,6
1.23,6,N/A,6,6,6,6,6,6,6
1.24,30,N/A,30,30,30,30,30,30,30
1.25,2,N/A,2,2,2,2,2,2,2
1.26,96,N/A,78,78,78,78,96,78,66
1.27,63,N/A,51,51,51,51,63,51,33
1.28,22,N/A,22,22,22,22,22,22,10
1.29,73,N/A,85,85,85,85,73,85,67
1.30,60,N/A,114,114,114,114,60,114,42
1.31,48,N/A,54,54,54,54,48,54,36
1.32,0,0,0,0,0,0,0,0,0
1.33,7,N/A,7,7,7,7,7,7,7
1.34,4,N/A,4,4,4,4,4,4,4
1.35,4,N/A,4,4,4,4,4,4,4
1.36,27,N/A,27,27,27,27,27,27,9
1.37,15,N/A,15,15,15,15,15,15,3
