Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,London,Ourense,Rome,Vigo,Yorktown
1.0,00:00:00.0439322,N/A,00:00:00.0050944,00:00:00.0041527,00:00:00.0041750,00:00:00.0044161,00:00:00.0041914,00:00:00.0046816,00:00:00.0038729
1.1,00:00:00.3855261,N/A,00:00:00.0163668,00:00:00.0116634,00:00:00.0065345,00:00:00.0059457,00:00:00.0067665,00:00:00.0060392,00:00:00.0074835
1.2,00:00:00.3035847,N/A,00:00:00.0088462,00:00:00.0072910,00:00:00.0047386,00:00:00.0049713,00:00:00.0045884,00:00:00.0040948,00:00:00.0047464
1.3,00:00:00.3098955,N/A,00:00:00.0051182,00:00:00.0043706,00:00:00.0038538,00:00:00.0040264,00:00:00.0047786,00:00:00.0040157,00:00:00.0037699
1.4,00:00:00.0082717,N/A,00:00:00.0063836,00:00:00.0059412,00:00:00.0063203,00:00:00.0062399,00:00:00.0046895,00:00:00.0050304,00:00:00.0051950
1.5,00:00:00.2948568,N/A,00:00:00.0061825,00:00:00.0080146,00:00:00.0060493,00:00:00.0227456,00:00:00.0078055,00:00:00.0066162,00:00:00.0149735
1.6,00:00:00.3306037,N/A,00:00:00.0047850,00:00:00.0043514,00:00:00.0050528,00:00:00.0040292,00:00:00.0040489,00:00:00.0045821,00:00:00.0044264
1.7,00:00:00.4662360,N/A,00:00:00.0179045,00:00:00.0109268,00:00:00.0108567,00:00:00.0105661,00:00:00.0039827,00:00:00.0044256,00:00:00.0043137
1.8,00:00:00.3073495,N/A,00:00:00.0045653,00:00:00.0041573,00:00:00.0044746,00:00:00.0042177,00:00:00.0042424,00:00:00.0042078,00:00:00.0143779
1.9,00:00:00.0109090,N/A,00:00:00.0064426,00:00:00.0063409,00:00:00.0067010,00:00:00.0071868,00:00:00.0059464,00:00:00.0062325,00:00:00.0062679
1.10,00:00:00.0064926,N/A,00:00:00.0065135,00:00:00.0048717,00:00:00.0061159,00:00:00.0045825,00:00:00.0043125,00:00:00.0049283,00:00:00.0055165
1.11,00:00:00.0060185,N/A,00:00:00.0053245,00:00:00.0054141,00:00:00.0055366,00:00:00.0052017,00:00:00.0054967,00:00:00.0053932,00:00:00.0047076
1.12,00:00:00.0093539,N/A,00:00:00.0384611,00:00:00.0112040,00:00:00.0060610,00:00:00.0069098,00:00:00.0268722,00:00:00.0111286,00:00:00.0103628
1.13,00:00:00.0416918,N/A,00:00:00.0092974,00:00:00.0107560,00:00:00.0109149,00:00:00.0106195,00:00:00.0107817,00:00:00.0058008,00:00:00.0055099
1.14,00:00:00.0129974,N/A,00:00:00.0120059,00:00:00.0130208,00:00:00.0148824,00:00:00.0245804,00:00:00.0120444,00:00:00.0126135,00:00:00.0117830
1.15,00:07:41.6598928,N/A,00:07:43.3835751,00:07:37.0156195,00:07:41.4697048,00:07:41.2232674,00:07:41.1988112,00:07:41.9609793,00:07:40.2640261
1.16,00:00:00.0182115,N/A,00:00:00.0436929,00:00:00.0173945,00:00:00.0206269,00:00:00.0253829,00:00:00.0112777,00:00:00.0111569,00:00:00.0171284
1.17,00:12:55.1597110,N/A,00:13:13.4504421,00:12:30.9584238,00:12:16.8656049,00:12:14.3937632,00:12:14.4826201,00:13:20.8687336,00:13:01.9418004
1.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.19,00:00:00.0088736,N/A,00:00:00.0400337,00:00:00.0109637,00:00:00.0073939,00:00:00.0054055,00:00:00.0049879,00:00:00.0044738,00:00:00.0055709
1.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.21,00:00:00.4093322,N/A,00:00:00.0184593,00:00:00.0100905,00:00:00.0107699,00:00:00.0104204,00:00:00.0109747,00:00:00.0105848,00:00:00.0101127
1.22,00:00:00.3755642,N/A,00:00:00.0166820,00:00:00.0094156,00:00:00.0197304,00:00:00.0074892,00:00:00.0083053,00:00:00.0068499,00:00:00.0069410
1.23,00:00:00.3034058,N/A,00:00:00.0075460,00:00:00.0115936,00:00:00.0062225,00:00:00.0072139,00:00:00.0064714,00:00:00.0065817,00:00:00.0064903
1.24,06:42:15.2696508,N/A,06:32:24.2673741,06:33:36.8746303,06:49:21.5439785,07:02:46.9302824,06:32:01.7982000,06:37:43.6282092,06:56:25.5259688
1.25,00:00:00.0080325,N/A,00:00:00.1186715,00:00:00.0066805,00:00:00.0066828,00:00:00.0055002,00:00:00.0116117,00:00:00.0069047,00:00:00.0061504
1.26,23:19:33.2730539,N/A,23:16:38.4512002,23:04:33.2277171,23:49:11.6279031,1.00:06:05.3218795,22:46:06.6662167,23:21:50.4103071,22:49:29.2741974
1.27,00:00:00.0089577,N/A,00:00:00.0077684,00:00:00.0070865,00:00:00.0064114,00:00:00.0071303,00:00:00.0064850,00:00:00.0069510,00:00:00.0069543
1.28,00:00:00.4076521,N/A,00:00:00.0062206,00:00:00.0067708,00:00:00.0060098,00:00:00.0058722,00:00:00.0210972,00:00:00.0063548,00:00:00.0064594
1.29,00:00:00.2000647,N/A,00:00:00.1798907,00:00:00.1803753,00:00:00.2203553,00:00:00.2003305,00:00:00.1856398,00:00:00.1795645,00:00:00.1809803
1.30,00:00:26.4657644,N/A,00:00:26.3150352,00:00:26.4049756,00:00:26.4870626,00:00:26.6552121,00:00:26.4405186,00:00:26.3770681,00:00:26.4394297
1.31,00:00:00.0080949,N/A,00:00:00.0083332,00:00:00.0074787,00:00:00.0070975,00:00:00.0068341,00:00:00.0054952,00:00:00.0093791,00:00:00.0060046
1.32,00:00:00.6300906,00:00:00.0066596,00:00:00.0054351,00:00:00.0058425,00:00:00.0058905,00:00:00.0043151,00:00:00.0040907,00:00:00.0045611,00:00:00.0040909
1.33,00:00:00.4458929,N/A,00:00:00.0060584,00:00:00.0065249,00:00:00.0061062,00:00:00.0058740,00:00:00.0064364,00:00:00.0059008,00:00:00.0057383
1.34,00:00:00.4566958,N/A,00:00:00.0064713,00:00:00.0054543,00:00:00.0054911,00:00:00.0072205,00:00:00.0054866,00:00:00.0064581,00:00:00.0062042
1.35,00:00:00.6581856,N/A,00:00:00.0067709,00:00:00.0057890,00:00:00.0063509,00:00:00.0056065,00:00:00.0054803,00:00:00.0062376,00:00:00.0064137
1.36,00:00:00.0089990,N/A,00:00:00.0116906,00:00:00.0080857,00:00:00.0075777,00:00:00.0068356,00:00:00.0084274,00:00:00.0052422,00:00:00.0053051
1.37,00:00:00.3054991,N/A,00:00:00.0064774,00:00:00.0056994,00:00:00.0056205,00:00:00.0061689,00:00:00.0066728,00:00:00.0056274,00:00:00.0061034
