"Operation Index","Operation Name","Latency","Priority"
0,"u3 (8FF161)","00:00:00.0010000","40"
1,"barrier (10F7C6E)","00:00:00.0010000","39"
2,"u3 (18B5FDE)","00:00:00.0010000","38"
3,"measurement (1E65ED4)","00:00:00.0030000","37"
4,"if 1 then u3 (1195578)","00:00:00.0020000","34"
5,"u3 (1E4013B)","00:00:00.0010000","32"
6,"measurement (1040B16)","00:00:00.0030000","31"
7,"if 1 then u3 (12463CA)","00:00:00.0020000","28"
8,"if 2 then u3 (2478221)","00:00:00.0020000","26"
9,"if 3 then u3 (83932A)","00:00:00.0020000","24"
10,"u3 (A02C80)","00:00:00.0010000","22"
11,"measurement (1A19083)","00:00:00.0030000","21"
12,"if 1 then u3 (2AE149C)","00:00:00.0020000","18"
13,"if 2 then u3 (1EB97C)","00:00:00.0020000","16"
14,"if 3 then u3 (114855C)","00:00:00.0020000","14"
15,"if 4 then u3 (1B8B03D)","00:00:00.0020000","12"
16,"if 5 then u3 (37E3228)","00:00:00.0020000","10"
17,"if 6 then u3 (36FC36F)","00:00:00.0020000","8"
18,"if 7 then u3 (2EDDEE9)","00:00:00.0020000","6"
19,"u3 (25CD639)","00:00:00.0010000","4"
20,"measurement (1438807)","00:00:00.0030000","3"
