"Operation Index","Operation Name","Latency","Priority"
0,"u3 (14A43C5)","00:00:00.0010000","12"
1,"u3 (39C61EF)","00:00:00.0010000","11"
2,"u3 (7F716D)","00:00:00.0010000","10"
3,"u3 (7AFCD6)","00:00:00.0010000","10"
4,"cx (52E38D)","00:00:00.0020000","9"
5,"u3 (2E9FFFA)","00:00:00.0010000","7"
6,"u3 (239FFCE)","00:00:00.0010000","7"
7,"cx (9FE42)","00:00:00.0020000","6"
8,"u3 (59F057)","00:00:00.0010000","4"
9,"measurement (3297317)","00:00:00.0030000","3"
10,"measurement (750BD1)","00:00:00.0030000","3"
