"Operation Index","Operation Name","Latency","Priority"
0,"u3 (3F64723)","00:00:00.0010000","24"
1,"u3 (3A88043)","00:00:00.0010000","23"
2,"cx (EC825F)","00:00:00.0020000","22"
3,"u3 (509557)","00:00:00.0010000","20"
4,"cx (2D54016)","00:00:00.0020000","19"
5,"u3 (17F40CC)","00:00:00.0010000","13"
6,"u3 (1794732)","00:00:00.0010000","12"
7,"u3 (14380CA)","00:00:00.0010000","17"
8,"cx (35F871B)","00:00:00.0020000","16"
9,"u3 (25BBFF8)","00:00:00.0010000","14"
10,"cx (139BFB8)","00:00:00.0020000","13"
11,"u3 (307BD7E)","00:00:00.0010000","11"
12,"u3 (345A972)","00:00:00.0010000","11"
13,"cx (172F505)","00:00:00.0020000","10"
14,"u3 (10A9D30)","00:00:00.0010000","8"
15,"cx (15F86B4)","00:00:00.0020000","7"
16,"u3 (5BBC5B)","00:00:00.0010000","5"
17,"u3 (3399F34)","00:00:00.0010000","4"
18,"measurement (10698DA)","00:00:00.0030000","3"
