"Operation Index","Operation Name","Latency","Priority"
0,"u3 (ACA85C)","00:00:00.0010000","17"
1,"u3 (211EB3F)","00:00:00.0010000","19"
2,"cx (2A1453E)","00:00:00.0020000","18"
3,"barrier (3AB6F30)","00:00:00.0010000","16"
4,"cx (106E8B8)","00:00:00.0020000","15"
5,"u3 (13E2E7E)","00:00:00.0010000","13"
6,"measurement (32FA273)","00:00:00.0030000","12"
7,"measurement (ACB610)","00:00:00.0030000","12"
8,"if 1 then u3 (2126697)","00:00:00.0020000","9"
9,"if 2 then u3 (2A59B4F)","00:00:00.0020000","7"
10,"if 3 then u3 (3D275CA)","00:00:00.0020000","5"
11,"measurement (2662422)","00:00:00.0030000","3"
