Circuit Id, Estimated Time
1.0, 00:00:00.0040008
1.1, 00:00:00.0020007
1.2, 00:00:00.0020007
1.3, 00:00:00.0020007
1.4, 00:00:00.0020008
1.5, 00:00:00.0010006
1.6, 00:00:00.0010004
1.7, 00:00:00.0010006
1.8, 00:00:00.0010005
1.9, 00:00:00.0030018
1.10, 00:00:00.0030013
1.11, 00:00:00.0040012
1.12, 00:00:00.0000024
1.21, 00:00:00.0010006
1.22, 00:00:00.0150016
1.23, 00:00:00.0100011
1.25, 00:00:00.0020011
1.27, 00:00:00.0050012
1.28, 00:00:00.0010024
1.32, 00:00:00.0010001
1.33, 00:00:00.0010013
1.34, 00:00:00.0050009
1.35, 00:00:00.0060010
1.37, 00:00:00.0030013
