"Operation Index","Operation Name","Latency","Priority"
0,"u3 (FC9EDC)","00:00:00.0010000","24"
1,"barrier (E195C1)","00:00:00.0010000","23"
2,"u3 (3EE43D1)","00:00:00.0010000","22"
3,"measurement (360625B)","00:00:00.0030000","21"
4,"if 1 then u3 (263753A)","00:00:00.0020000","18"
5,"u3 (17F1F0E)","00:00:00.0010000","16"
6,"measurement (1781780)","00:00:00.0030000","15"
7,"if 1 then u3 (138D381)","00:00:00.0020000","14"
8,"if 1 then u3 (2FF6F8A)","00:00:00.0020000","12"
9,"u3 (2FAEBDC)","00:00:00.0010000","10"
10,"measurement (2D24AC0)","00:00:00.0030000","9"
11,"if 1 then u3 (164A0C8)","00:00:00.0020000","10"
12,"if 1 then u3 (89A70C)","00:00:00.0020000","8"
13,"if 1 then u3 (D6DF6C)","00:00:00.0020000","6"
14,"u3 (38DDAD3)","00:00:00.0010000","4"
15,"measurement (3FCB171)","00:00:00.0030000","3"
