"Operation Index","Operation Name","Latency","Priority"
0,"u3 (34DCA42)","00:00:00.0010000","22"
1,"barrier (1BC1C53)","00:00:00.0010000","21"
2,"cx (39CFEEB)","00:00:00.0020000","20"
3,"cx (84F643)","00:00:00.0020000","18"
4,"cx (ACA85C)","00:00:00.0020000","16"
5,"cx (211EB3F)","00:00:00.0020000","14"
6,"measurement (2A1453E)","00:00:00.0030000","12"
7,"if 1 then u3 (3AB6F30)","00:00:00.0020000","9"
8,"if 2 then u3 (106E8B8)","00:00:00.0020000","7"
9,"if 3 then u3 (13E2E7E)","00:00:00.0020000","5"
10,"measurement (32FA273)","00:00:00.0030000","3"
